id	rank	phase	title	aliases	creators	date_label	sort_year	period_bucket	macro_region	form_bucket	section	group	topic	medium	unit_type	tier	pool	source	source_id	source_status	review_status	progress_status	lifetime_path	url	normalized_title	normalized_creators	boundary_flags	generic_title
candidate:pyramid_texts	1	1	Pyramid Texts	""	Ancient Egyptian priestly and scribal tradition	Old Kingdom Egypt	-2400	2500_1500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	ancient_egyptian_religion	text	funerary_text_corpus	core	spine	wave_011_mythology_religion_oral_traditions	pyramid_texts	manual_only	needs_sources	planned	true		pyramid texts	ancient egyptian priestly and scribal tradition	sacred_religious|myth_ritual	false
candidate:instructions_of_ptahhotep	2	1	The Instructions of Ptahhotep	""	Ancient Egyptian wisdom tradition	c. 24th century BCE; later manuscript tradition	-2350	2500_1500_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	ancient_egyptian_literature	text	wisdom_text	major	coverage	wave_006_textual_humanities_literature_philosophy	instructions_of_ptahhotep	manual_only	needs_sources	planned	true		instructions of ptahhotep	ancient egyptian wisdom tradition	philosophy_adjacent	false
candidate:coffin_texts	7	1	Coffin Texts	""	Ancient Egyptian funerary and scribal tradition	Middle Kingdom Egypt	-1900	2500_1500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	ancient_egyptian_religion	text	funerary_text_corpus	major	coverage	wave_011_mythology_religion_oral_traditions	coffin_texts	manual_only	needs_sources	planned	true		coffin texts	ancient egyptian funerary and scribal tradition	sacred_religious|myth_ritual	false
candidate:atrahasis	11	1	Atrahasis	""	Akkadian scribal tradition	c. 18th century BCE	-1750	2500_1500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	mythology_folklore_oral_traditions	mesopotamian_mythology	text	mythic_epic	major	coverage	wave_004_core_expansion	atrahasis	manual_only	needs_sources	planned	true		atrahasis	akkadian scribal tradition	oral_tradition|myth_ritual	false
candidate:debate_between_man_and_soul	12	1	The Debate Between a Man and His Soul	""	Middle Egyptian literary tradition	c. 20th-18th century BCE	-1750	2500_1500_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	ancient_egyptian_literature	text	wisdom_dialogue	major	coverage	wave_006_textual_humanities_literature_philosophy	debate_between_man_and_soul	manual_only	needs_sources	planned	true		debate between man and his soul	middle egyptian literary tradition	philosophy_adjacent	false
canon:rig-veda	13	1	Rig Veda	""	Vedic tradition	c. 1500-1200 BCE	-1500	1500_1000_bce	south_asia	sacred_myth_ritual	textual_humanities	literature	sanskrit	text	scripture	core	spine	accepted_record	rig-veda	accepted	accepted_with_caveat	planned	true	/canon/rig-veda/	rig veda	vedic tradition	sacred_religious	false
candidate:me_lit_adapa	15	1	Adapa Myth	""	Akkadian mythological-literary tradition	second-first millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	fiction_narrative_prose	textual_humanities	literature	akkadian_literature	text	mythic_tale	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_adapa	manual_only	needs_sources	planned	true		adapa myth	akkadian mythological literary tradition	myth_ritual	false
candidate:anzu_myth	16	1	Anzu Myth	""	Akkadian scribal tradition	second-first millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	mythology_folklore_oral_traditions	mesopotamian_mythology	text	mythic_poem	major	coverage	wave_011_mythology_religion_oral_traditions	anzu_myth	manual_only	needs_sources	planned	true		anzu myth	akkadian scribal tradition	oral_tradition|myth_ritual	false
candidate:me_lit_instructions_shuruppak	20	1	Instructions of Shuruppak	""	Sumerian wisdom-literary tradition	early 2nd millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	sumerian_literature	text	wisdom_text	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_instructions_shuruppak	manual_only	needs_sources	planned	true		instructions of shuruppak	sumerian wisdom literary tradition	philosophy_adjacent	false
candidate:kumarbi_cycle	21	1	Kumarbi Cycle	""	Hurrian and Hittite mythological tradition	second millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	mythology_folklore_oral_traditions	hittite_and_anatolian_mythology	text	myth_cycle	major	coverage	wave_011_mythology_religion_oral_traditions	kumarbi_cycle	manual_only	needs_sources	planned	true		kumarbi cycle	hurrian and hittite mythological tradition	oral_tradition|myth_ritual	false
candidate:descent_of_inanna	24	1	The Descent of Inanna	""	Sumerian scribal tradition	c. 2nd millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	mythology_folklore_oral_traditions	mesopotamian_mythology	text	mythic_poem	major	coverage	wave_004_core_expansion	descent_of_inanna	manual_only	needs_sources	planned	true		descent of inanna	sumerian scribal tradition	oral_tradition|myth_ritual	false
candidate:egyptian_book_of_the_dead	26	1	Egyptian Book of the Dead	Book of Going Forth by Day | Book of Coming Forth by Day	Ancient Egyptian funerary and scribal tradition	New Kingdom Egypt and later	-1300	1500_1000_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	ancient_egyptian_religion	text	funerary_text_corpus	core	spine	wave_011_mythology_religion_oral_traditions	egyptian_book_of_the_dead	manual_only	needs_sources	planned	true		egyptian book of dead	ancient egyptian funerary and scribal tradition	sacred_religious|myth_ritual	false
candidate:scale4_lit_amenemope	30	1	Instruction of Amenemope	""	Ancient Egyptian wisdom tradition	late New Kingdom	-1100	1500_1000_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	ancient_egyptian_literature	text	wisdom_text	major	coverage	wave_028_literature_undercovered_language_traditions	scale4_lit_amenemope	manual_only	needs_sources	planned	true		instruction of amenemope	ancient egyptian wisdom tradition	philosophy_adjacent	false
candidate:avesta	32	1	Avesta	""	Zoroastrian priestly and liturgical tradition	ancient Iranian; transmitted in later manuscripts	-1000	1000_500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	zoroastrian_texts	text	scripture_collection	core	spine	wave_011_mythology_religion_oral_traditions	avesta	manual_only	needs_sources	planned	true		avesta	zoroastrian priestly and liturgical tradition	sacred_religious|myth_ritual	false
candidate:gathas_zarathustra	33	1	Gathas	""	Zarathustra; Zoroastrian liturgical tradition	ancient Iranian	-1000	1000_500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	zoroastrian_texts	text	liturgical_hymn_cycle	core	spine	wave_011_mythology_religion_oral_traditions	gathas_zarathustra	manual_only	needs_sources	planned	true		gathas	zarathustra zoroastrian liturgical tradition	sacred_religious|myth_ritual	false
canon:upanishads	34	1	Upanishads	""	Vedic and early Hindu philosophical traditions	c. 800-300 BCE	-800	1000_500_bce	south_asia	sacred_myth_ritual	textual_humanities	religion	sanskrit	text	corpus	core	spine	accepted_record	upanishads	accepted	accepted_with_caveat	planned	true	/canon/upanishads/	upanishads	vedic and early hindu philosophical traditions	sacred_religious|philosophy_adjacent	false
