work_id	canonical_title	normalized_title	title_variants_json	cluster_status	notes
qb_lit_things_fall_apart_75cb4f47	Things Fall Apart	things fall apart	"{""Things Fall Apart"":1253,""THINGS FALL APART"":6,""​Things Fall Apart"":3,""Things Fall Apart​"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_odyssey_d926ad80	The Odyssey	the odyssey	"{""The Odyssey"":2264,""Odyssey"":22,""the Odyssey"":7,""The _Odyssey"":3,""Odyssey​"":2,""​The ​Odyssey"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_don_quixote_0709fc89	Don Quixote	don quixote	"{""Don Quixote"":1377,""​Don Quixote​"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_aeneid_ed6d3c34	Aeneid	aeneid	"{""Aeneid"":1301,""The Aeneid"":56,""The Aeneid /"":4,""THE AENEID"":3,""AENEID"":2,""the Aeneid"":2,""the _AENEID"":2,""​The ​Aeneid​"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_paradise_lost_7bba6a5f	Paradise Lost	paradise lost	"{""Paradise Lost"":1122,""PARADISE LOST"":1,""​Paradise Lost"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_heart_of_darkness_dd9d5e4b	Heart of Darkness	heart of darkness	"{""Heart of Darkness"":790,""HEART OF DARKNESS"":4,""​Heart of Darkness"":4}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_moby_dick_640c74a7	Moby Dick	moby dick	"{""Moby Dick"":923,""Moby-Dick"":75,""MOBY DICK"":4,""​Moby-Dick"":4,""Moby Dick /"":3,""MOBY-DICK"":2,""​Moby Dick​"":1,""​Moby-Dick​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_great_gatsby_bb4e1b6b	The Great Gatsby	the great gatsby	"{""The Great Gatsby"":781,""​The ​Great Gatsby​"":3,""​The ​Great Gatsby"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_canterbury_tales_2706437f	The Canterbury Tales	the canterbury tales	"{""The Canterbury Tales"":920,""Canterbury Tales"":15,""Canterbury Tales /"":3,""The ​Canterbury Tales"":1,""The ​Canterbury Tales​"":1,""​The ​Canterbury Tales​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_one_hundred_years_of_solitude_a337ca93	One Hundred Years of Solitude	one hundred years of solitude	"{""One Hundred Years of Solitude"":817,""One Hundred Years Of Solitude"":3,""​One Hundred Years of Solitude​"":3,""ONE HUNDRED YEARS OF SOLITUDE"":1,""​One ​Hundred Years of Solitude​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_cry_the_beloved_country_70682e6c	Cry, the Beloved Country	cry the beloved country	"{""Cry, the Beloved Country"":510,""Cry, The Beloved Country"":16,""Cry the Beloved Country"":12,""Cry, the Beloved Country /"":4,""​Cry, the Beloved Country"":4,""CRY, THE BELOVED COUNTRY"":3,""CRY THE BELOVED COUNTRY"":1,""Cry. The Beloved Country"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_scarlet_letter_095af4e8	The Scarlet Letter	the scarlet letter	"{""The Scarlet Letter"":770,""The _Scarlet Letter"":1,""​The Scarlet Letter"":1,""​The ​Scarlet Letter"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_jane_eyre_08573b93	Jane Eyre	jane eyre	"{""Jane Eyre"":653,""JANE EYRE"":2,""​Jane Eyre"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
