proposal_id	cut_work_id	cut_title	cut_creator	source_id	scope_review_class	scope_review_ids	source_item_ids	source_item_count	raw_title_examples	proposed_evidence_type	proposed_evidence_strength	proposal_gate	reviewer_status	recommended_action	next_action
x055_cut_evidence_0001	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	representative_poetry_selection_review	x054_cut_scope_0013;x054_cut_scope_0014;x054_cut_scope_0015;x054_cut_scope_0016;x054_cut_scope_0017;x054_cut_scope_0018	longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids;longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving;longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus;longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven;longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling;longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	6	"3 ""Cry out lamenting, Venuses and Cupids"";5 ""Lesbia, let us live only for loving"";13 ""You will dine well with me, my dear Fabullus"""	representative_selection	moderate	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0002	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	title_family_match_ode_source_item	x054_cut_scope_0026;x054_cut_scope_0029;x054_cut_scope_0030;x054_cut_scope_0031;x054_cut_scope_0032	longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved;longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now;longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep;longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day;longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	5	"from Odes: 1.24: Why should our grief for a man so loved;Ode 1.25 ""The young bloods are not so eager now"";Ode 1.9 ""Soracte standing white and deep"""	representative_selection	moderate	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0003	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	representative_poetry_selection_review	x054_cut_scope_0020;x054_cut_scope_0021;x054_cut_scope_0022	longman2e_volf_277_derek_walcott_a_far_cry_from_africa;longman2e_volf_278_derek_walcott_volcano;longman2e_volf_279_derek_walcott_the_fortunate_traveller	3	A Far Cry from Africa;Volcano;The Fortunate Traveller	representative_selection	moderate	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0004	work_candidate_bloom_leopardi_poems	Poems	Giacomo Leopardi	longman_world_lit_2e_2009	representative_poetry_selection_review	x054_cut_scope_0024;x054_cut_scope_0025	longman2e_vole_031_giacomo_leopardi_the_infinite;longman2e_vole_032_giacomo_leopardi_dialogue_between_nature_and_an_icelander	2	The Infinite;Dialogue Between Nature and an Icelander	representative_selection	moderate	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0005	work_candidate_bloom_darwish_selected_poems	Selected Poems	Mahmoud Darwish	longman_world_lit_2e_2009	representative_poetry_selection_review	x054_cut_scope_0043;x054_cut_scope_0044	longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country;longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	2	A Poem Which Is Not Green, from My Country;Diary of a Palestinian Wound	representative_selection	moderate	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0006	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	e013_fsg_20c_latin_american_poetry_2011	representative_poetry_selection_review	x054_cut_scope_0010	e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	1	Os ombros suportam o mundo : your shoulders hold up the world ; O elefante : the elephant ; Desapareciemento de Luisa Porto : the disappearance of Luisa Porto ; Retrato de familia : family portrait ; Procura da poesia : looking for poetry	representative_selection	weak	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0007	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	e013_oxford_latin_american_poetry_2009	representative_poetry_selection_review	x054_cut_scope_0011	e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	1	This is that ; A passion for measure ; In the middle of the way ; F	representative_selection	weak	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0008	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	longman_world_lit_2e_2009	representative_poetry_selection_review	x054_cut_scope_0012	longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	1	In the Middle of the Road	representative_selection	weak	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0009	work_candidate_bloom_catullus_poems	Poems	Catullus	norton_world_lit_5e_full_pre1650	representative_poetry_selection_review	x054_cut_scope_0019	nawol5e_vola_143_catullus_poem	1	POEM	representative_selection	weak	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
x055_cut_evidence_0010	work_candidate_bloom_horace_odes	Odes	Horace	norton_world_lit_5e_full_pre1650	title_family_match_ode_source_item	x054_cut_scope_0033	nawol5e_vola_139_horace_two_odes	1	TWO ODES	representative_selection	weak	manual_scope_acceptance_required	needs_manual_scope_review	generate_cut_side_representative_selection_evidence_if_scope_is_accepted	manual_scope_review_before_evidence_table_update
