triage_id	queue_id	diagnostic_id	severity	priority_score	subject	diagnostic_type	triage_class	confidence	source_item_count	source_ids	matched_work_ids	possible_work_ids	representative_titles	representative_creators	rationale	recommended_action
x029_triage_0001	x028_red_0001	x028_source_cluster_fireflies	high	111	Fireflies	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	4	e017_columbia_early_modern_japanese_lit_2002;e017_columbia_modern_japanese_lit_v1_2005;e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Fireflies	Ota Yoko; Man'OShu, Collection Of Ten Thousand Leaves	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0002	x028_red_0002	x028_source_cluster_invitation_to_voyage	high	94	Invitation to the Voyage	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	3	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Invitation to the Voyage	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0003	x028_red_0003	x028_source_cluster_kubla_khan	high	94	Kubla Khan	source_backed_unmatched_cluster	possible_variant_alias_to_current_work	medium	3	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	work_candidate_bloom_late_032_literature_bloom_democratic_age_reviewed_0482_christabel_kubla_khan_a_vision_in_a_dream_the_pa	Kubla Khan	Samuel Taylor Coleridge	Same-creator candidate exists in the current path but the source title is not an exact alias.	manual_variant_alias_review
x029_triage_0004	x028_red_0004	x028_source_cluster_peacock_southeast_flew	high	93	"""A Peacock Southeast Flew"" | A Peacock Southeast Flew"	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	""	""	"""A Peacock Southeast Flew""; A Peacock Southeast Flew"	Anonymous; Ban Zhao	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0005	x028_red_0005	x028_source_cluster_deer_enclosure	high	93	"""Deer Enclosure"" | Deer Enclosure"	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	norton_world_lit_5e_full_pre1650;shorter_columbia_traditional_chinese_lit_2000	""	""	"""Deer Enclosure""; Deer Enclosure"	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0006	x028_red_0006	x028_source_cluster_midnight_songs	high	93	"""Midnight Songs"" | Midnight Songs"	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	""	""	"""Midnight Songs""; Midnight Songs"	Anonymous; Ban Zhao	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0007	x028_red_0007	x028_source_cluster_ballad_of_mulan	high	93	"""The Ballad of Mulan"" | Ballad of Mulan"	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	""	""	"""The Ballad of Mulan""; Ballad of Mulan"	Anonymous; Ban Zhao	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0008	x028_red_0008	x028_source_cluster_song_of_lasting_regret	high	93	"""The Song of Lasting Regret"" | The Song of Lasting Regret"	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	norton_world_lit_5e_full_pre1650;shorter_columbia_traditional_chinese_lit_2000	""	""	"""The Song of Lasting Regret""; The Song of Lasting Regret"	Po Chu-yi	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0009	x028_red_0009	x028_source_cluster_5_lesbia_let_us_live_only_for_loving	high	93	"5 ""Lesbia, let us live only for loving"" | 5 [Lesbia, let us live only for loving]"	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	"5 ""Lesbia, let us live only for loving""; 5 [Lesbia, let us live only for loving]"	Catullus	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0010	x028_red_0010	x028_source_cluster_51_to_me_that_man_seems_like_god_in_heaven	high	93	"51 ""To me that man seems like a god in heaven"" | 51 [To me that man seems like a god in heaven]"	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	"51 ""To me that man seems like a god in heaven""; 51 [To me that man seems like a god in heaven]"	Catullus	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0011	x028_red_0011	x028_source_cluster_76_if_any_pleasure_can_come_to_man_through_recalling	high	93	"76 ""If any pleasure can come to a man through recalling"" | 76 [If any pleasure can come to a man through recalling]"	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	"76 ""If any pleasure can come to a man through recalling""; 76 [If any pleasure can come to a man through recalling]"	Catullus	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
