axis	cell_key	selected_count	candidate_count	source_item_unmatched_count	evidence_count	no_evidence_selected_count	provisional_external_selected_count	risk_level	diagnostic_reason	next_action
region_form	east_asia|graphic_visual_narrative	0	0	20	0	0	0	critical	selected=0; unmatched_source_pressure=20; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
region_form	east_asia|children_young_adult	0	0	4	0	0	0	high	selected=0; unmatched_source_pressure=4; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
form_bucket	children_young_adult	45	45	12	1	44	1	medium	selected=45; unmatched_source_pressure=12; no_evidence_selected=44	review_red_cell_before_manual_packet_sweep
form_bucket	drama_performance	270	271	55	52	238	14	medium	selected=270; unmatched_source_pressure=55; no_evidence_selected=238	review_red_cell_before_manual_packet_sweep
form_bucket	epic_oral_folk	107	107	18	29	89	7	medium	selected=107; unmatched_source_pressure=18; no_evidence_selected=89	review_red_cell_before_manual_packet_sweep
form_bucket	essays_memoir_testimony	187	188	182	53	153	9	medium	selected=187; unmatched_source_pressure=182; no_evidence_selected=153	review_red_cell_before_manual_packet_sweep
form_bucket	fiction_narrative_prose	1649	1654	2890	192	1524	45	medium	selected=1649; unmatched_source_pressure=2890; no_evidence_selected=1524	review_red_cell_before_manual_packet_sweep
form_bucket	poetry	509	510	1244	98	457	28	medium	selected=509; unmatched_source_pressure=1244; no_evidence_selected=457	review_red_cell_before_manual_packet_sweep
form_bucket	sacred_myth_ritual	92	92	23	34	73	5	medium	selected=92; unmatched_source_pressure=23; no_evidence_selected=73	review_red_cell_before_manual_packet_sweep
form_bucket	speculative_genre	124	124	2	1	123	1	medium	selected=124; unmatched_source_pressure=2; no_evidence_selected=123	review_red_cell_before_manual_packet_sweep
macro_region	africa	223	223	379	24	201	5	medium	selected=223; unmatched_source_pressure=379; no_evidence_selected=201	review_red_cell_before_manual_packet_sweep
macro_region	americas	517	519	280	53	483	19	medium	selected=517; unmatched_source_pressure=280; no_evidence_selected=483	review_red_cell_before_manual_packet_sweep
macro_region	east_asia	219	219	1318	127	151	13	medium	selected=219; unmatched_source_pressure=1318; no_evidence_selected=151	review_red_cell_before_manual_packet_sweep
macro_region	europe	922	922	12	170	824	49	medium	selected=922; unmatched_source_pressure=12; no_evidence_selected=824	review_red_cell_before_manual_packet_sweep
macro_region	middle_east_central_asia	250	250	33	26	233	8	medium	selected=250; unmatched_source_pressure=33; no_evidence_selected=233	review_red_cell_before_manual_packet_sweep
macro_region	oceania_arctic	84	84	2	1	83	1	medium	selected=84; unmatched_source_pressure=2; no_evidence_selected=83	review_red_cell_before_manual_packet_sweep
macro_region	south_asia	257	257	126	14	244	1	medium	selected=257; unmatched_source_pressure=126; no_evidence_selected=244	review_red_cell_before_manual_packet_sweep
macro_region	southeast_asia	56	56	0	4	53	1	medium	selected=56; unmatched_source_pressure=0; no_evidence_selected=53	review_red_cell_before_manual_packet_sweep
macro_region	unknown	472	478	2297	41	446	13	medium	selected=472; unmatched_source_pressure=2297; no_evidence_selected=446	review_red_cell_before_manual_packet_sweep
period	1100_1300_ce	88	88	0	26	70	5	medium	selected=88; unmatched_source_pressure=0; no_evidence_selected=70	review_red_cell_before_manual_packet_sweep
period	1300_1500_ce	57	57	0	23	42	6	medium	selected=57; unmatched_source_pressure=0; no_evidence_selected=42	review_red_cell_before_manual_packet_sweep
period	1500_1600_ce	68	68	0	24	54	7	medium	selected=68; unmatched_source_pressure=0; no_evidence_selected=54	review_red_cell_before_manual_packet_sweep
period	1600_1700_ce	113	113	0	35	93	7	medium	selected=113; unmatched_source_pressure=0; no_evidence_selected=93	review_red_cell_before_manual_packet_sweep
period	1700_1750_ce	30	30	0	12	21	3	medium	selected=30; unmatched_source_pressure=0; no_evidence_selected=21	review_red_cell_before_manual_packet_sweep
period	1750_1800_ce	72	72	0	20	61	3	medium	selected=72; unmatched_source_pressure=0; no_evidence_selected=61	review_red_cell_before_manual_packet_sweep
period	1800_1830_ce	91	91	0	4	88	1	medium	selected=91; unmatched_source_pressure=0; no_evidence_selected=88	review_red_cell_before_manual_packet_sweep
period	1830_1850_ce	58	58	0	10	52	2	medium	selected=58; unmatched_source_pressure=0; no_evidence_selected=52	review_red_cell_before_manual_packet_sweep
period	1850_1870_ce	110	110	0	21	95	7	medium	selected=110; unmatched_source_pressure=0; no_evidence_selected=95	review_red_cell_before_manual_packet_sweep
period	1870_1890_ce	93	93	0	10	84	4	medium	selected=93; unmatched_source_pressure=0; no_evidence_selected=84	review_red_cell_before_manual_packet_sweep
period	1890_1900_ce	70	70	0	8	64	5	medium	selected=70; unmatched_source_pressure=0; no_evidence_selected=64	review_red_cell_before_manual_packet_sweep
period	1900_1914_ce	162	162	0	8	156	3	medium	selected=162; unmatched_source_pressure=0; no_evidence_selected=156	review_red_cell_before_manual_packet_sweep
period	1914_1918_ce	51	51	0	6	48	3	medium	selected=51; unmatched_source_pressure=0; no_evidence_selected=48	review_red_cell_before_manual_packet_sweep
period	1919_1929_ce	113	113	0	20	101	7	medium	selected=113; unmatched_source_pressure=0; no_evidence_selected=101	review_red_cell_before_manual_packet_sweep
period	1930_1939_ce	135	135	0	11	126	7	medium	selected=135; unmatched_source_pressure=0; no_evidence_selected=126	review_red_cell_before_manual_packet_sweep
period	1939_1945_ce	54	54	0	7	53	1	medium	selected=54; unmatched_source_pressure=0; no_evidence_selected=53	review_red_cell_before_manual_packet_sweep
period	1946_1959_ce	252	252	0	23	239	7	medium	selected=252; unmatched_source_pressure=0; no_evidence_selected=239	review_red_cell_before_manual_packet_sweep
period	1960_1969_ce	173	173	0	14	159	5	medium	selected=173; unmatched_source_pressure=0; no_evidence_selected=159	review_red_cell_before_manual_packet_sweep
period	1970_1979_ce	190	190	0	7	184	1	medium	selected=190; unmatched_source_pressure=0; no_evidence_selected=184	review_red_cell_before_manual_packet_sweep
period	1980_1989_ce	192	192	0	7	185	2	medium	selected=192; unmatched_source_pressure=0; no_evidence_selected=185	review_red_cell_before_manual_packet_sweep
period	1990_1999_ce	181	181	0	8	174	1	medium	selected=181; unmatched_source_pressure=0; no_evidence_selected=174	review_red_cell_before_manual_packet_sweep
period	1_300_ce	35	35	0	9	29	0	medium	selected=35; unmatched_source_pressure=0; no_evidence_selected=29	review_red_cell_before_manual_packet_sweep
period	2000_2009_ce	167	167	0	3	164	1	medium	selected=167; unmatched_source_pressure=0; no_evidence_selected=164	review_red_cell_before_manual_packet_sweep
period	2010_2019_ce	147	147	0	2	146	1	medium	selected=147; unmatched_source_pressure=0; no_evidence_selected=146	review_red_cell_before_manual_packet_sweep
period	300_1_bce	48	48	0	15	39	3	medium	selected=48; unmatched_source_pressure=0; no_evidence_selected=39	review_red_cell_before_manual_packet_sweep
period	300_600_ce	34	34	0	8	29	1	medium	selected=34; unmatched_source_pressure=0; no_evidence_selected=29	review_red_cell_before_manual_packet_sweep
period	500_300_bce	49	49	0	51	31	6	medium	selected=49; unmatched_source_pressure=0; no_evidence_selected=31	review_red_cell_before_manual_packet_sweep
period	600_900_ce	53	53	0	17	46	3	medium	selected=53; unmatched_source_pressure=0; no_evidence_selected=46	review_red_cell_before_manual_packet_sweep
period	900_1100_ce	41	41	0	20	28	0	medium	selected=41; unmatched_source_pressure=0; no_evidence_selected=28	review_red_cell_before_manual_packet_sweep
region_form	africa|fiction_narrative_prose	162	162	136	22	142	3	medium	selected=162; unmatched_source_pressure=136; no_evidence_selected=142	review_red_cell_before_manual_packet_sweep
region_form	americas|drama_performance	22	22	2	1	21	0	medium	selected=22; unmatched_source_pressure=2; no_evidence_selected=21	review_red_cell_before_manual_packet_sweep
region_form	americas|essays_memoir_testimony	26	26	0	6	22	2	medium	selected=26; unmatched_source_pressure=0; no_evidence_selected=22	review_red_cell_before_manual_packet_sweep
region_form	americas|fiction_narrative_prose	361	362	60	28	345	10	medium	selected=361; unmatched_source_pressure=60; no_evidence_selected=345	review_red_cell_before_manual_packet_sweep
region_form	americas|poetry	97	98	215	13	88	6	medium	selected=97; unmatched_source_pressure=215; no_evidence_selected=88	review_red_cell_before_manual_packet_sweep
region_form	east_asia|fiction_narrative_prose	120	120	661	61	90	11	medium	selected=120; unmatched_source_pressure=661; no_evidence_selected=90	review_red_cell_before_manual_packet_sweep
region_form	east_asia|poetry	46	46	456	17	37	2	medium	selected=46; unmatched_source_pressure=456; no_evidence_selected=37	review_red_cell_before_manual_packet_sweep
region_form	europe|drama_performance	170	170	0	23	157	10	medium	selected=170; unmatched_source_pressure=0; no_evidence_selected=157	review_red_cell_before_manual_packet_sweep
region_form	europe|epic_oral_folk	33	33	0	17	24	3	medium	selected=33; unmatched_source_pressure=0; no_evidence_selected=24	review_red_cell_before_manual_packet_sweep
region_form	europe|essays_memoir_testimony	54	54	0	14	45	1	medium	selected=54; unmatched_source_pressure=0; no_evidence_selected=45	review_red_cell_before_manual_packet_sweep
region_form	europe|fiction_narrative_prose	480	480	10	55	443	16	medium	selected=480; unmatched_source_pressure=10; no_evidence_selected=443	review_red_cell_before_manual_packet_sweep
region_form	europe|poetry	170	170	2	59	142	18	medium	selected=170; unmatched_source_pressure=2; no_evidence_selected=142	review_red_cell_before_manual_packet_sweep
region_form	middle_east_central_asia|essays_memoir_testimony	34	34	0	5	30	2	medium	selected=34; unmatched_source_pressure=0; no_evidence_selected=30	review_red_cell_before_manual_packet_sweep
region_form	middle_east_central_asia|fiction_narrative_prose	88	88	0	3	86	1	medium	selected=88; unmatched_source_pressure=0; no_evidence_selected=86	review_red_cell_before_manual_packet_sweep
region_form	middle_east_central_asia|poetry	75	75	32	4	72	0	medium	selected=75; unmatched_source_pressure=32; no_evidence_selected=72	review_red_cell_before_manual_packet_sweep
region_form	middle_east_central_asia|sacred_myth_ritual	30	30	1	9	25	3	medium	selected=30; unmatched_source_pressure=1; no_evidence_selected=25	review_red_cell_before_manual_packet_sweep
region_form	oceania_arctic|fiction_narrative_prose	53	53	1	0	53	0	medium	selected=53; unmatched_source_pressure=1; no_evidence_selected=53	review_red_cell_before_manual_packet_sweep
region_form	south_asia|fiction_narrative_prose	138	138	10	7	131	0	medium	selected=138; unmatched_source_pressure=10; no_evidence_selected=131	review_red_cell_before_manual_packet_sweep
region_form	south_asia|poetry	53	53	116	0	53	0	medium	selected=53; unmatched_source_pressure=116; no_evidence_selected=53	review_red_cell_before_manual_packet_sweep
region_form	south_asia|sacred_myth_ritual	23	23	0	4	20	1	medium	selected=23; unmatched_source_pressure=0; no_evidence_selected=20	review_red_cell_before_manual_packet_sweep
region_form	southeast_asia|fiction_narrative_prose	37	37	0	2	35	1	medium	selected=37; unmatched_source_pressure=0; no_evidence_selected=35	review_red_cell_before_manual_packet_sweep
region_form	unknown|children_young_adult	40	40	7	0	40	0	medium	selected=40; unmatched_source_pressure=7; no_evidence_selected=40	review_red_cell_before_manual_packet_sweep
region_form	unknown|fiction_narrative_prose	210	214	2012	14	199	3	medium	selected=210; unmatched_source_pressure=2012; no_evidence_selected=199	review_red_cell_before_manual_packet_sweep
region_form	unknown|poetry	28	28	188	2	27	1	medium	selected=28; unmatched_source_pressure=188; no_evidence_selected=27	review_red_cell_before_manual_packet_sweep
region_form	unknown|speculative_genre	112	112	0	1	111	1	medium	selected=112; unmatched_source_pressure=0; no_evidence_selected=111	review_red_cell_before_manual_packet_sweep
period	taxonomy_pending	0	8	0	0	0	0	low	selected=0; unmatched_source_pressure=0; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
region_form	africa|children_young_adult	0	0	1	0	0	0	low	selected=0; unmatched_source_pressure=1; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
region_form	americas|speculative_genre	0	0	1	0	0	0	low	selected=0; unmatched_source_pressure=1; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
