source_id	source_title	source_type	source_scope	source_date	source_citation	edition	editors_or_authors	publisher	coverage_limits	extraction_method	packet_ids	extraction_status	notes
arlima_medieval_literature	ARLIMA: Archives de litterature du Moyen Age	bibliographic_database	European medieval authors, works, themes, and manuscripts	ongoing	ARLIMA: https://www.arlima.net/	online	ARLIMA editors	ARLIMA	Bibliographic support, not anthology selection evidence	Use author/work pages for aliases, manuscript witnesses, and bibliographic authority	E009	metadata_ready	High-value authority layer for Old French, Arthurian, Anglo-Norman, and Latin-adjacent records
bedford_world_lit_compact_v1_2009	The Bedford Anthology of World Literature, Compact Edition, Volume 1: The Ancient, Medieval, and Early Modern World	world_literature_anthology	Beginnings to 1650	2009	Davis, Paul; Gary Harrison; David M. Johnson; John F. Crawford. Bedford/St. Martin's, 2009. ISBN 9780312441531	Compact ed., Vol. 1	Paul Davis; Gary Harrison; David M. Johnson; John F. Crawford	Bedford/St. Martin's	Public TOC fragment only; not complete enough for full extraction from web alone	Extract public TOC anchors; match against current path; mark inaccessible remainder unresolved	E006	in_progress	Primary Bedford layer, partial public TOC
bedford_world_lit_compact_v2_2008	The Bedford Anthology of World Literature, Compact Edition, Volume 2: The Modern World	world_literature_anthology	1650 to present	2008	Davis, Paul; Gary Harrison; David M. Johnson; John F. Crawford. Bedford/St. Martin's, 2008. ISBN 9780312441548	Compact ed., Vol. 2	Paul Davis; Gary Harrison; David M. Johnson; John F. Crawford	Bedford/St. Martin's	Public TOC fragment only; not complete enough for full extraction from web alone	Extract public TOC anchors; match against current path; mark inaccessible remainder unresolved	E006	in_progress	Primary Bedford modern layer, partial public TOC
bibliotheca_augustana_germanica	Bibliotheca Augustana: Bibliotheca Germanica	digital_text_collection	German literature chronology including Old High German, Middle High German, and Early New High German	various	Chronology page: https://www.hs-augsburg.de/~harsch/germanica/Chronologie/d_chrono.html	online	Ulrich Harsch	HS Augsburg	Edition provenance uneven; not canon-selection evidence	Use as public text/access and alias layer; verify against specialist metadata	E009	metadata_ready	Middle High German anchor for Nibelungenlied, courtly romance, and Minnesang
bloom_curated_seed_layer	Harold Bloom curated seed layer	legacy_canon_list	Western literature seed layer used as one evidence layer only	2026-05-02 local audit freeze	Local audit narrative reports 200/200 Bloom seed matches; machine-readable seed list not present	local audit artifact	Harold Bloom / project-curated extraction	unknown	Western-weighted; not global; not sufficient as sole support	Recover or reconstruct 200 seed rows, then match against current path	E002	rejected	Blocked: exact seed artifact missing; do not reconstruct from current path annotations
bloom_full_appendix_1994	The Western Canon full appendix	legacy_canon_list	Western canon appendix cleanup layer	1994	Harold Bloom, The Western Canon: The Books and School of the Ages, appendix; edition/publisher not locally captured	unknown	Harold Bloom	unknown	Western-heavy legacy canon list; not global; cannot be sole support for locked inclusion	Local raw appendix extraction plus current-path matching	E003	in_progress	Recoverable from local untracked artifacts; policy-gated before commit/publication/scoring
bloom_full_appendix_review_batches	Local Bloom appendix review batches	packet_audit_output	Local reviewed/staged Bloom decisions	2026-05-02	_planning/canon_literature_audit_2026_05_02.md	local audit output	local canon audit	local	Derived review layer, not an external source	Decision reconciliation after raw/reviewed Bloom tables are recovered	E003	in_progress	Recoverable from local untracked artifacts; internal triage only, not external evidence
brians_modern_south_asian_lit_english_2003	Modern South Asian Literature in English	region_literary_history	Introductory critical guide to major modern South Asian English-language fiction from India, Pakistan, and Sri Lanka	2003	Bloomsbury: https://www.bloomsbury.com/us/modern-south-asian-literature-in-english-9780313320118/	1st ed.	Paul Brians	Greenwood / Bloomsbury	English-language modern fiction only; 15 selected chapters; weak for vernacular, poetry, Bangladesh, and Nepal coverage	Extract chapter and work rows from public TOC; treat as literary-history/context support, not anthology inclusion	E015;X023	extracted	Complete 15-row Gale public chapter TOC ingested; rows are literary-history context, not anthology selection evidence.
broadview_brit_lit_medieval_r3_2023	The Broadview Anthology of British Literature, Vol. 1: The Medieval Period	period_anthology	British medieval literature; Old English, Anglo-Norman, Middle English, religious, and context material	2023	Broadview official page: https://broadviewpress.com/product/the-broadview-anthology-of-british-literature-volume-1-the-medieval-period-revised-third-edition/	Revised 3rd ed.	Joseph Black and coeditors	Broadview Press	Public TOC available; companion-site items need boundary tags	Extract publisher TOC anchors; match whole works versus selections	E009	public_toc_ready	Best public layer for Old English elegies, Beowulf, Pearl, Gawain, Julian, Kempe, and drama
broadview_british_lit_concise_a_b_2019_2024	Broadview Anthology of British Literature, Concise Vols. A-B	english_literature_anthology	Medieval through twenty-first century	2019-2024	Broadview official product pages and contents	Concise A 4th; Concise B 3rd	Joseph Black and coeditors	Broadview Press	Includes companion-website material; some rows are contextual, not primary works	Extract official contents; mark bound-book versus website item; compare with Norton/Longman	E010	ready_public_toc	Modern diversity/context comparator
broadview_medieval_drama_2012	The Broadview Anthology of Medieval Drama	drama_anthology	Medieval drama across Latin, continental, and English traditions	2012	Broadview official page: https://broadviewpress.com/product/the-broadview-anthology-of-medieval-drama/	1st ed.	Christina M. Fitzgerald; John T. Sebastian	Broadview Press	Drama-only; includes documents and context sources	Extract play titles and context documents separately	E009	public_toc_ready	Useful for Hrotsvitha, Quem Quaeritis, York cycle, Everyman, and early drama checks
