diagnostic_id	diagnostic_type	subject	axis	cell_key	severity	priority_score	selected_count	candidate_count	source_item_count	evidence_count	matched_work_ids	source_ids	rationale	next_action
x028_coverage_0001	coverage_red_cell	region_form: east_asia|graphic_visual_narrative	region_form	east_asia|graphic_visual_narrative	critical	120	0	0	20	0	""	""	selected=0; unmatched_source_pressure=20; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
x028_source_cluster_fireflies	source_backed_unmatched_cluster	Fireflies	source_cluster	fireflies	high	111	0	0	4	0	""	e017_columbia_early_modern_japanese_lit_2002;e017_columbia_modern_japanese_lit_v1_2005;e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 4 source(s) and 4 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_invitation_to_voyage	source_backed_unmatched_cluster	Invitation to the Voyage	source_cluster	invitation to voyage	high	94	0	0	3	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 3 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_kubla_khan	source_backed_unmatched_cluster	Kubla Khan	source_cluster	kubla khan	high	94	0	0	3	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 3 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_peacock_southeast_flew	source_backed_unmatched_cluster	"""A Peacock Southeast Flew"" | A Peacock Southeast Flew"	source_cluster	peacock southeast flew	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_deer_enclosure	source_backed_unmatched_cluster	"""Deer Enclosure"" | Deer Enclosure"	source_cluster	deer enclosure	high	93	0	0	2	0	""	norton_world_lit_5e_full_pre1650;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_midnight_songs	source_backed_unmatched_cluster	"""Midnight Songs"" | Midnight Songs"	source_cluster	midnight songs	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_ballad_of_mulan	source_backed_unmatched_cluster	"""The Ballad of Mulan"" | Ballad of Mulan"	source_cluster	ballad of mulan	high	93	0	0	2	0	""	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_song_of_lasting_regret	source_backed_unmatched_cluster	"""The Song of Lasting Regret"" | The Song of Lasting Regret"	source_cluster	song of lasting regret	high	93	0	0	2	0	""	norton_world_lit_5e_full_pre1650;shorter_columbia_traditional_chinese_lit_2000	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_5_lesbia_let_us_live_only_for_loving	source_backed_unmatched_cluster	"5 ""Lesbia, let us live only for loving"" | 5 [Lesbia, let us live only for loving]"	source_cluster	5 lesbia let us live only for loving	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_51_to_me_that_man_seems_like_god_in_heaven	source_backed_unmatched_cluster	"51 ""To me that man seems like a god in heaven"" | 51 [To me that man seems like a god in heaven]"	source_cluster	51 to me that man seems like god in heaven	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_76_if_any_pleasure_can_come_to_man_through_recalling	source_backed_unmatched_cluster	"76 ""If any pleasure can come to a man through recalling"" | 76 [If any pleasure can come to a man through recalling]"	source_cluster	76 if any pleasure can come to man through recalling	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_martyr	source_backed_unmatched_cluster	A Martyr | The Martyr	source_cluster	martyr	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_agamemnon	source_backed_unmatched_cluster	Agamemnon | AGAMEMNON	source_cluster	agamemnon	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_akashi	source_backed_unmatched_cluster	Akashi	source_cluster	akashi	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_autumn_excursion	source_backed_unmatched_cluster	An Autumn Excursion	source_cluster	autumn excursion	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_old_and_established_name	source_backed_unmatched_cluster	An Old and Established Name	source_cluster	old and established name	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_atsumori	source_backed_unmatched_cluster	Atsumori	source_cluster	atsumori	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_autumn_night	source_backed_unmatched_cluster	Autumn Night | The autumn night	source_cluster	autumn night	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_begging_for_food	source_backed_unmatched_cluster	Begging for Food	source_cluster	begging for food	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_bells_of_gion_monastery	source_backed_unmatched_cluster	Bells of Gion Monastery | The Bells of Gion Monastery	source_cluster	bells of gion monastery	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_bring_in_wine	source_backed_unmatched_cluster	Bring in the Wine	source_cluster	bring in wine	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_byzantium	source_backed_unmatched_cluster	Byzantium	source_cluster	byzantium	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_central_park	source_backed_unmatched_cluster	Central Park	source_cluster	central park	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_correspondences	source_backed_unmatched_cluster	Correspondences	source_cluster	correspondences	high	93	0	0	2	0	""	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_delicious_poison	source_backed_unmatched_cluster	Delicious Poison	source_cluster	delicious poison	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_elegy	source_backed_unmatched_cluster	Elegy	source_cluster	elegy	high	93	0	0	2	0	""	e014_penguin_modern_african_poetry_4e_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_emperor_jomei	source_backed_unmatched_cluster	Emperor Jomei	source_cluster	emperor jomei	high	93	0	0	2	0	""	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_source_cluster_escape	source_backed_unmatched_cluster	Escape	source_cluster	escape	high	93	0	0	2	0	""	columbia_modern_chinese_lit_2e_2007;e017_columbia_modern_japanese_lit_v2_2007	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
