review_id	work_order_id	cut_work_id	cut_title	cut_creator	cut_rank	selection_basis	completion_unit	source_debt_status	evidence_count	accepted_evidence_refs	provisional_evidence_refs	alias_count	alias_examples	source_item_match_count	source_item_match_statuses	duplicate_cluster_key	duplicate_cluster_size	generic_title_flag	selection_basis_status	recommended_resolution	next_action
x051_selection_basis_0001	x050_cut_review_0001	work_candidate_eastasia_lit_lu_you_poems	Selected Poems	Lu You	331	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0002	x050_cut_review_0002	work_candidate_mandatory_burns_poems_chiefly	Poems, Chiefly in the Scottish Dialect	Robert Burns	712	""	Read the complete literary work or a documented assigned selection.	open_no_evidence	0	""	""	1	Selected Poems	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0003	x050_cut_review_0003	work_candidate_euro_under_lit_sutzkever_poems	Selected Poems	Avrom Sutzkever	1765	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0004	x050_cut_review_0004	work_candidate_global_lit_nazim_hikmet_poems	Selected Poems	Nazim Hikmet	1766	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0005	x050_cut_review_0005	work_candidate_scale_lit_tsvetaeva_selected	Selected Poems	Marina Tsvetaeva	1767	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0006	x050_cut_review_0006	work_candidate_bloom_reviewed_heaney_poems	Selected Poems	Seamus Heaney	1768	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0007	x050_cut_review_0007	work_candidate_me_lit_siamanto_poems	Selected Poems	Siamanto	1770	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0008	x050_cut_review_0008	work_candidate_me_lit_varoujan_poems	Selected Poems	Daniel Varoujan	1771	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0009	x050_cut_review_0009	work_candidate_indig_lit_chaska_poems	Selected Poems	Ch'aska Anka Ninawaman	2677	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
x051_selection_basis_0010	x050_cut_review_0010	work_candidate_selected_poems_joy_harjo	Selected Poems	Joy Harjo	2679	""	Read the poem, poetry collection, or assigned poetic selection.	open_no_evidence	0	""	""	0	""	0	""	selected poems	106	true	generic_title_unresolved_no_source_support	hold_cut_pairing_until_selection_basis_and_external_support_are_verified	find_author_work_specific_source_or_mark_cut_basis_unresolved
