item_decision_id	proposal_id	scope_review_id	rescue_id	cut_work_id	cut_title	cut_creator	source_id	source_item_id	raw_title	scope_review_class	scope_risk	item_decision	decision_reason	evidence_effect	reviewer_status	next_action
x056_cut_item_decision_0001	x055_cut_evidence_0011	x054_cut_scope_0001	x052_cut_source_rescue_0001	work_candidate_bloom_reviewed_hughes_poems	The Weary Blues and Selected Poems	Langston Hughes	e012_loa_african_american_poetry_2020	e012_aap_hughes_negro_speaks_rivers	The Negro Speaks of Rivers	existing_linked_selection_evidence_review	medium	existing_evidence_scope_review_required	Evidence already exists; update status only after confirming representative-selection scope.	may_update_existing_evidence_status_after_scope_review	needs_manual_review	review_existing_evidence_status
x056_cut_item_decision_0002	x055_cut_evidence_0015	x054_cut_scope_0002	x052_cut_source_rescue_0002	work_candidate_wave002_dunbar_lyrics_lowly_life	Lyrics of Lowly Life	Paul Laurence Dunbar	e012_loa_african_american_poetry_2020	e012_aap_dunbar_we_wear_mask	We Wear the Mask	existing_linked_selection_evidence_review	medium	existing_evidence_scope_review_required	Evidence already exists; update status only after confirming representative-selection scope.	may_update_existing_evidence_status_after_scope_review	needs_manual_review	review_existing_evidence_status
x056_cut_item_decision_0003	""	x054_cut_scope_0003	x052_cut_source_rescue_0003	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_252_anne_bradstreet_the_author_to_her_book	The Author to Her Book	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0004	""	x054_cut_scope_0004	x052_cut_source_rescue_0004	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_253_anne_bradstreet_to_my_dear_and_loving_husband	To my Dear and Loving Husband	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0005	""	x054_cut_scope_0005	x052_cut_source_rescue_0005	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_254_anne_bradstreet_a_letter_to_her_husband_absent_upon_public_employment	A Letter to Her Husband, Absent upon Public Employment	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0006	""	x054_cut_scope_0006	x052_cut_source_rescue_0006	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_255_anne_bradstreet_before_the_birth_of_one_of_her_children	Before the Birth of One of Her Children	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0007	""	x054_cut_scope_0007	x052_cut_source_rescue_0007	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_256_anne_bradstreet_upon_the_burning_of_our_house_july_10th_1666	Upon the Burning of Our House, July 10th, 1666	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0008	""	x054_cut_scope_0008	x052_cut_source_rescue_0008	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_257_anne_bradstreet_on_my_dear_grand_child_simon_bradstreet	On My Dear Grand-child Simon Bradstreet	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0009	""	x054_cut_scope_0009	x052_cut_source_rescue_0009	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_258_anne_bradstreet_to_my_dear_children	To My Dear Children	named_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0010	x055_cut_evidence_0006	x054_cut_scope_0010	x052_cut_source_rescue_0010	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	Os ombros suportam o mundo : your shoulders hold up the world ; O elefante : the elephant ; Desapareciemento de Luisa Porto : the disappearance of Luisa Porto ; Retrato de familia : family portrait ; Procura da poesia : looking for poetry	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
