applied_id	work_id	title	creator	source_id	source_item_id	evidence_id	source_type	evidence_type	evidence_strength	reviewer_status	source_debt_status_before	source_debt_status_after	action_lane_after	resolution_status	next_action	rationale
x082_external_source_rescue_0001	work_candidate_wave003_louise_labe_sonnets_elegies	Sonnets et elegies	Louise Labe	x082_google_books_labe_sonnets_elegies	x082_item_google_books_labe_sonnets_elegies	x082_ev_google_books_labe_sonnets_elegies	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Google Books and Encyclopedia.com support Labe's sonnets-and-elegies corpus; the local source items are individual sonnets/elegies, so this packet uses external complete-title support rather than component rows.
x082_external_source_rescue_0002	work_candidate_wave003_louise_labe_sonnets_elegies	Sonnets et elegies	Louise Labe	x082_encyclopedia_labe_sonnets_elegies	x082_item_encyclopedia_labe_sonnets_elegies	x082_ev_encyclopedia_labe_sonnets_elegies	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Google Books and Encyclopedia.com support Labe's sonnets-and-elegies corpus; the local source items are individual sonnets/elegies, so this packet uses external complete-title support rather than component rows.
x082_external_source_rescue_0003	work_candidate_bloom_gap_031_0278_les_odes	Les Odes	Pierre de Ronsard	x082_britannica_ronsard_odes	x082_item_britannica_ronsard_odes	x082_ev_britannica_ronsard_odes	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Larousse independently identify Ronsard's Odes/Les Odes as the work row's target collection rather than a generic selected-poems placeholder.
x082_external_source_rescue_0004	work_candidate_bloom_gap_031_0278_les_odes	Les Odes	Pierre de Ronsard	x082_larousse_ronsard_odes	x082_item_larousse_ronsard_odes	x082_ev_larousse_ronsard_odes	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Larousse independently identify Ronsard's Odes/Les Odes as the work row's target collection rather than a generic selected-poems placeholder.
x082_external_source_rescue_0005	work_candidate_wave003_swinburne_poems_ballads	Poems and Ballads	Algernon Charles Swinburne	x082_britannica_swinburne_poems_ballads	x082_item_britannica_swinburne_poems_ballads	x082_ev_britannica_swinburne_poems_ballads	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and the Poetry Foundation both support Poems and Ballads as Swinburne's 1866 collection and the work that established his reputation and controversy.
x082_external_source_rescue_0006	work_candidate_wave003_swinburne_poems_ballads	Poems and Ballads	Algernon Charles Swinburne	x082_poetry_foundation_swinburne_poems_ballads	x082_item_poetry_foundation_swinburne_poems_ballads	x082_ev_poetry_foundation_swinburne_poems_ballads	language_literary_history	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and the Poetry Foundation both support Poems and Ballads as Swinburne's 1866 collection and the work that established his reputation and controversy.
x082_external_source_rescue_0007	work_candidate_wave003_hopkins_poems	Poems of Gerard Manley Hopkins	Gerard Manley Hopkins	x082_britannica_hopkins_poems	x082_item_britannica_hopkins_poems	x082_ev_britannica_hopkins_poems	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Google Books support the 1918 Poems of Gerard Manley Hopkins collection; title policy may later decide whether to display the leading article The.
x082_external_source_rescue_0008	work_candidate_wave003_hopkins_poems	Poems of Gerard Manley Hopkins	Gerard Manley Hopkins	x082_google_books_hopkins_poems	x082_item_google_books_hopkins_poems	x082_ev_google_books_hopkins_poems	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Google Books support the 1918 Poems of Gerard Manley Hopkins collection; title policy may later decide whether to display the leading article The.
x082_external_source_rescue_0009	work_candidate_wave004_zoshchenko_sentimental_tales	Sentimental Tales	Mikhail Zoshchenko	x082_cup_zoshchenko_sentimental_tales	x082_item_cup_zoshchenko_sentimental_tales	x082_ev_cup_zoshchenko_sentimental_tales	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Columbia University Press and Foreword Reviews both support Sentimental Tales as a Zoshchenko story cycle in English translation; chronology/display review can later separate original cycle dates from translation date.
x082_external_source_rescue_0010	work_candidate_wave004_zoshchenko_sentimental_tales	Sentimental Tales	Mikhail Zoshchenko	x082_foreword_zoshchenko_sentimental_tales	x082_item_foreword_zoshchenko_sentimental_tales	x082_ev_foreword_zoshchenko_sentimental_tales	prize_or_reception_layer	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Columbia University Press and Foreword Reviews both support Sentimental Tales as a Zoshchenko story cycle in English translation; chronology/display review can later separate original cycle dates from translation date.
