cut_candidate_id	work_id	incumbent_path_id	rank	title	creator	tier	source_status	review_status	source_debt_status	evidence_count	generic_title_flag	duplicate_cluster_key	duplicate_cluster_size	chronology_issue_count	boundary_flag	risk_score	gate_status	rationale	next_action
x046_cut_0889	work_candidate_wave002_longfellow_selected_poems	candidate:wave002_longfellow_selected_poems	889	Selected Poems	Henry Wadsworth Longfellow	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	2	false	7.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=2	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0255	work_candidate_global_lit_abu_nuwas_poems	candidate:global_lit_abu_nuwas_poems	255	Selected Poems	Abu Nuwas	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	1	false	6.50	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=1	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0257	work_candidate_me_lit_abu_tammam_poems	candidate:me_lit_abu_tammam_poems	257	Selected Poems	Abu Tammam	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	1	false	6.50	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=1	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0435	work_candidate_bloom_reviewed_villon_poems	candidate:bloom_reviewed_villon_poems	435	Selected Poems	Francois Villon	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	1	false	6.50	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=1	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0048	work_candidate_scale_lit_archilochus_poems	candidate:scale_lit_archilochus_poems	48	Selected Poems	Archilochus	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	0	false	6.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106)	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0180	work_candidate_eastasia_lit_cao_cao_poems	candidate:eastasia_lit_cao_cao_poems	180	Selected Poems	Cao Cao	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	0	false	6.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106)	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0181	work_candidate_eastasia_lit_cao_zhi_poems	candidate:eastasia_lit_cao_zhi_poems	181	Selected Poems	Cao Zhi	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	0	false	6.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106)	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0182	work_candidate_eastasia_lit_ruan_ji_poems	candidate:eastasia_lit_ruan_ji_poems	182	Selected Poems	Ruan Ji	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	0	false	6.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106)	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0200	work_candidate_eastasia_lit_bao_zhao_poems	candidate:eastasia_lit_bao_zhao_poems	200	Selected Poems	Bao Zhao	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	0	false	6.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106)	manual_cut_review_before_pairing_with_add_candidate
x046_cut_0201	work_candidate_global_lit_tao_yuanming_poems	candidate:global_lit_tao_yuanming_poems	201	Selected Poems	Tao Yuanming	major	manual_only	needs_sources	open_no_evidence	0	true	selected poems	106	0	false	6.00	high_cut_review_priority	open_no_evidence;generic_title;duplicate_cluster=selected poems(106)	manual_cut_review_before_pairing_with_add_candidate
