rescue_id	review_id	work_order_id	cut_work_id	cut_title	cut_creator	source_id	source_item_id	raw_title	raw_creator	match_status	matched_work_id	evidence_type	evidence_weight	supports	rescue_match_rule	rescue_confidence	recommended_action	next_action
x052_cut_source_rescue_0001	x051_selection_basis_0012	x050_cut_review_0012	work_candidate_bloom_reviewed_hughes_poems	The Weary Blues and Selected Poems	Langston Hughes	e012_loa_african_american_poetry_2020	e012_aap_hughes_negro_speaks_rivers	The Negro Speaks of Rivers	Langston Hughes	represented_by_selection	work_candidate_bloom_reviewed_hughes_poems	representative_selection	0.50	poem_level_anthology_inclusion	source_item_already_linked_to_cut	0.95	review_existing_selection_scope_and_evidence_status	accept_reject_or_scope_existing_selection_evidence
x052_cut_source_rescue_0002	x051_selection_basis_0025	x050_cut_review_0025	work_candidate_wave002_dunbar_lyrics_lowly_life	Lyrics of Lowly Life	Paul Laurence Dunbar	e012_loa_african_american_poetry_2020	e012_aap_dunbar_we_wear_mask	We Wear the Mask	Paul Laurence Dunbar	represented_by_selection	work_candidate_wave002_dunbar_lyrics_lowly_life	representative_selection	0.50	poem_level_anthology_inclusion	source_item_already_linked_to_cut	0.95	review_existing_selection_scope_and_evidence_status	accept_reject_or_scope_existing_selection_evidence
x052_cut_source_rescue_0003	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_252_anne_bradstreet_the_author_to_her_book	The Author to Her Book	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0004	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_253_anne_bradstreet_to_my_dear_and_loving_husband	To my Dear and Loving Husband	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0005	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_254_anne_bradstreet_a_letter_to_her_husband_absent_upon_public_employment	A Letter to Her Husband, Absent upon Public Employment	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0006	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_255_anne_bradstreet_before_the_birth_of_one_of_her_children	Before the Birth of One of Her Children	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0007	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_256_anne_bradstreet_upon_the_burning_of_our_house_july_10th_1666	Upon the Burning of Our House, July 10th, 1666	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0008	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_257_anne_bradstreet_on_my_dear_grand_child_simon_bradstreet	On My Dear Grand-child Simon Bradstreet	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0009	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_258_anne_bradstreet_to_my_dear_children	To My Dear Children	Anne Bradstreet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0010	x051_selection_basis_0010	x050_cut_review_0010	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	Os ombros suportam o mundo : your shoulders hold up the world ; O elefante : the elephant ; Desapareciemento de Luisa Porto : the disappearance of Luisa Porto ; Retrato de familia : family portrait ; Procura da poesia : looking for poetry	Carlos Drummond de Andrade	unmatched	""	representative_selection	0.60	poem_level_anthology_inclusion	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
