resolution_id	residue_id	scope_review_id	action_id	cut_work_id	cut_title	cut_creator	source_id	source_item_id	raw_title	raw_creator	source_item_form	scope_review_class	high_risk_issue	resolution_decision	existing_source_item_effect	evidence_generation_gate	source_debt_effect	required_external_support	reviewer_status	next_action	rationale
x069_high_risk_resolution_0001	x063_high_risk_residue_0001	x065_current_scope_x059_cut_action_0002_longman2e_volc_252_anne_bradstreet_the_author_to_her_book	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_252_anne_bradstreet_the_author_to_her_book	The Author to Her Book	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	The Author to Her Book is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0002	x063_high_risk_residue_0002	x065_current_scope_x059_cut_action_0002_longman2e_volc_253_anne_bradstreet_to_my_dear_and_loving_husband	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_253_anne_bradstreet_to_my_dear_and_loving_husband	To my Dear and Loving Husband	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	To my Dear and Loving Husband is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0003	x063_high_risk_residue_0003	x065_current_scope_x059_cut_action_0002_longman2e_volc_254_anne_bradstreet_a_letter_to_her_husband_absent_upon_public_employment	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_254_anne_bradstreet_a_letter_to_her_husband_absent_upon_public_employment	A Letter to Her Husband, Absent upon Public Employment	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	A Letter to Her Husband, Absent upon Public Employment is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0004	x063_high_risk_residue_0004	x065_current_scope_x059_cut_action_0002_longman2e_volc_255_anne_bradstreet_before_the_birth_of_one_of_her_children	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_255_anne_bradstreet_before_the_birth_of_one_of_her_children	Before the Birth of One of Her Children	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	Before the Birth of One of Her Children is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0005	x063_high_risk_residue_0005	x065_current_scope_x059_cut_action_0002_longman2e_volc_256_anne_bradstreet_upon_the_burning_of_our_house_july_10th_1666	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_256_anne_bradstreet_upon_the_burning_of_our_house_july_10th_1666	Upon the Burning of Our House, July 10th, 1666	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	Upon the Burning of Our House, July 10th, 1666 is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0006	x063_high_risk_residue_0006	x065_current_scope_x059_cut_action_0002_longman2e_volc_257_anne_bradstreet_on_my_dear_grand_child_simon_bradstreet	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_257_anne_bradstreet_on_my_dear_grand_child_simon_bradstreet	On My Dear Grand-child Simon Bradstreet	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	On My Dear Grand-child Simon Bradstreet is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0007	x063_high_risk_residue_0007	x065_current_scope_x059_cut_action_0002_longman2e_volc_258_anne_bradstreet_to_my_dear_children	x059_cut_action_0002	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	longman_world_lit_2e_2009	longman2e_volc_258_anne_bradstreet_to_my_dear_children	To My Dear Children	Anne Bradstreet	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_named_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_named_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	To My Dear Children is an individual component row; it cannot establish support for the named collection The Tenth Muse without exact membership or separate complete-work support.
x069_high_risk_resolution_0008	x063_high_risk_residue_0008	x065_current_scope_x059_cut_action_0003_longman2e_volf_277_derek_walcott_a_far_cry_from_africa	x059_cut_action_0003	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_277_derek_walcott_a_far_cry_from_africa	A Far Cry from Africa	Derek Walcott	unspecified_component	creator_exact_component_form_unverified	component_form_not_proven_for_current_selected_work	needs_verified_poem_form_before_selection_evidence	leave_unmatched_until_form_source_confirms_selection_evidence	blocked_until_public_form_verification	does_not_close_source_debt	public_source_confirming_component_is_poem; complete_work_or_selected_work_support_still_needed	reviewed_blocked	verify_component_form_then_possible_selection_only_evidence	A Far Cry from Africa is compatible with representative-poetry support, but X069 requires public form verification before accepting selection-only evidence.
x069_high_risk_resolution_0009	x063_high_risk_residue_0009	x065_current_scope_x059_cut_action_0003_longman2e_volf_278_derek_walcott_volcano	x059_cut_action_0003	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_278_derek_walcott_volcano	Volcano	Derek Walcott	unspecified_component	creator_exact_component_form_unverified	component_form_not_proven_for_current_selected_work	needs_verified_poem_form_before_selection_evidence	leave_unmatched_until_form_source_confirms_selection_evidence	blocked_until_public_form_verification	does_not_close_source_debt	public_source_confirming_component_is_poem; complete_work_or_selected_work_support_still_needed	reviewed_blocked	verify_component_form_then_possible_selection_only_evidence	Volcano is compatible with representative-poetry support, but X069 requires public form verification before accepting selection-only evidence.
x069_high_risk_resolution_0010	x063_high_risk_residue_0010	x065_current_scope_x059_cut_action_0003_longman2e_volf_279_derek_walcott_the_fortunate_traveller	x059_cut_action_0003	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_279_derek_walcott_the_fortunate_traveller	The Fortunate Traveller	Derek Walcott	unspecified_component	creator_exact_component_form_unverified	component_form_not_proven_for_current_selected_work	needs_verified_poem_form_before_selection_evidence	leave_unmatched_until_form_source_confirms_selection_evidence	blocked_until_public_form_verification	does_not_close_source_debt	public_source_confirming_component_is_poem; complete_work_or_selected_work_support_still_needed	reviewed_blocked	verify_component_form_then_possible_selection_only_evidence	The Fortunate Traveller is compatible with representative-poetry support, but X069 requires public form verification before accepting selection-only evidence.
x069_high_risk_resolution_0011	x063_high_risk_residue_0011	x065_current_scope_x059_cut_action_0004_e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	x059_cut_action_0004	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	Julio Cortazar	poem	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	reject_wrong_form_for_story_collection_support	do_not_generate_cut_side_evidence_from_current_source_item	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	independent_short_story_collection_support_for_current_title	reviewed_blocked	skip_current_source_item_and_acquire_external_source_support	Para leer en forma interrogative : to be read in the interrogative is a poem-level source item and cannot support the current story collection All Fires the Fire.
x069_high_risk_resolution_0012	x063_high_risk_residue_0012	x065_current_scope_x059_cut_action_0004_longman2e_volc_290_julio_cortazar_axolotl	x059_cut_action_0004	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	Julio Cortazar	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_story_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_story_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	Axolotl may be a story-level component, but the current source item does not itself prove membership in All Fires the Fire.
x069_high_risk_resolution_0013	x063_high_risk_residue_0013	x065_current_scope_x059_cut_action_0005_e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	x059_cut_action_0005	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	Julio Cortazar	poem	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	reject_wrong_form_for_story_collection_support	do_not_generate_cut_side_evidence_from_current_source_item	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	independent_short_story_collection_support_for_current_title	reviewed_blocked	skip_current_source_item_and_acquire_external_source_support	Para leer en forma interrogative : to be read in the interrogative is a poem-level source item and cannot support the current story collection Blow-Up and Other Stories.
x069_high_risk_resolution_0014	x063_high_risk_residue_0014	x065_current_scope_x059_cut_action_0005_longman2e_volc_290_julio_cortazar_axolotl	x059_cut_action_0005	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	Julio Cortazar	unspecified_component	named_collection_membership_unverified	named_collection_membership_not_proven_by_current_source_item	hold_for_exact_story_collection_membership_source	leave_unmatched_until_exact_membership_or_external_support	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	public_source_confirming_story_collection_membership_or_independent_complete_collection_support	reviewed_blocked	acquire_external_named_collection_or_complete_work_support	Axolotl may be a story-level component, but the current source item does not itself prove membership in Blow-Up and Other Stories.
x069_high_risk_resolution_0015	x063_high_risk_residue_0015	x065_current_scope_x059_cut_action_0006_longman2e_volf_135_primo_levi_the_two_flags	x059_cut_action_0006	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0835_collected_poems	Collected Poems	Primo Levi	longman_world_lit_2e_2009	longman2e_volf_135_primo_levi_the_two_flags	The Two Flags	Primo Levi	unspecified_component	creator_exact_component_form_unverified	component_form_not_proven_for_current_selected_work	reject_or_hold_component_form_mismatch	do_not_generate_cut_side_evidence_from_current_source_item	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	independent_complete_work_support_or_corrected_current_work_scope	reviewed_blocked	skip_current_source_item_and_acquire_external_source_support	The Two Flags is high risk for the current poetry selection and should not be promoted without independent form or work-scope support.
x069_high_risk_resolution_0016	x063_high_risk_residue_0016	x065_current_scope_x059_cut_action_0007_longman2e_volf_161_czeslaw_milosz_child_of_europe	x059_cut_action_0007	work_candidate_completion_lit_selected_poems_milosz	Selected Poems	Czeslaw Milosz	longman_world_lit_2e_2009	longman2e_volf_161_czeslaw_milosz_child_of_europe	Child of Europe	Czeslaw Milosz	unspecified_component	creator_exact_component_form_unverified	component_form_not_proven_for_current_selected_work	needs_verified_poem_form_before_selection_evidence	leave_unmatched_until_form_source_confirms_selection_evidence	blocked_until_public_form_verification	does_not_close_source_debt	public_source_confirming_component_is_poem; complete_work_or_selected_work_support_still_needed	reviewed_blocked	verify_component_form_then_possible_selection_only_evidence	Child of Europe is compatible with representative-poetry support, but X069 requires public form verification before accepting selection-only evidence.
x069_high_risk_resolution_0017	x063_high_risk_residue_0017	x065_current_scope_x059_cut_action_0008_longman2e_volf_113_nazim_hikmet_regarding_art	x059_cut_action_0008	work_candidate_global_lit_nazim_hikmet_poems	Selected Poems	Nazim Hikmet	longman_world_lit_2e_2009	longman2e_volf_113_nazim_hikmet_regarding_art	Regarding Art	Nazim Hikmet	unspecified_component	creator_exact_component_form_unverified	component_form_not_proven_for_current_selected_work	reject_or_hold_component_form_mismatch	do_not_generate_cut_side_evidence_from_current_source_item	blocked_until_external_collection_or_scope_resolution	does_not_close_source_debt	independent_complete_work_support_or_corrected_current_work_scope	reviewed_blocked	skip_current_source_item_and_acquire_external_source_support	Regarding Art is high risk for the current poetry selection and should not be promoted without independent form or work-scope support.
