resolution_id	review_id	work_order_id	cut_work_id	cut_title	cut_creator	cut_rank	selection_basis_status	rescue_candidate_count	rescue_source_ids	rescue_source_item_ids	rescue_match_rules	resolution_lane	lane_priority	recommended_action	external_search_query	next_action
x053_cut_resolution_0001	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	144	generic_title_unresolved_no_source_support	8	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved;longman2e_vola_275_horace_satire_1_8_once_i_was_wood_from_a_worthless_old_fig_tree;longman2e_vola_276_horace_satire_1_5_leaving_the_big_city_behind_i_found_lodgings_at_aricia;longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now;longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep;longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day;longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus;nawol5e_vola_139_horace_two_odes	creator_exact_unmatched_source_item	existing_source_item_rescue_review	107.986	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0002	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	139	generic_title_unresolved_no_source_support	7	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids;longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving;longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus;longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven;longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling;longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation;nawol5e_vola_143_catullus_poem	creator_exact_unmatched_source_item	existing_source_item_rescue_review	106.986	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0003	x051_selection_basis_0026	x050_cut_review_0026	work_candidate_mandatory_bradstreet_tenth_muse	The Tenth Muse	Anne Bradstreet	587	non_generic_source_support_unresolved	7	longman_world_lit_2e_2009	longman2e_volc_252_anne_bradstreet_the_author_to_her_book;longman2e_volc_253_anne_bradstreet_to_my_dear_and_loving_husband;longman2e_volc_254_anne_bradstreet_a_letter_to_her_husband_absent_upon_public_employment;longman2e_volc_255_anne_bradstreet_before_the_birth_of_one_of_her_children;longman2e_volc_256_anne_bradstreet_upon_the_burning_of_our_house_july_10th_1666;longman2e_volc_257_anne_bradstreet_on_my_dear_grand_child_simon_bradstreet;longman2e_volc_258_anne_bradstreet_to_my_dear_children	creator_exact_unmatched_source_item	existing_source_item_rescue_review	106.941	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0004	x051_selection_basis_0010	x050_cut_review_0010	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	1772	generic_title_unresolved_no_source_support	3	e013_fsg_20c_latin_american_poetry_2011;e013_oxford_latin_american_poetry_2009;longman_world_lit_2e_2009	e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h;e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m;longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	creator_exact_unmatched_source_item	existing_source_item_rescue_review	102.823	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0005	x051_selection_basis_0015	x050_cut_review_0015	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	1779	generic_title_unresolved_no_source_support	3	e013_fsg_20c_latin_american_poetry_2011;e013_oxford_latin_american_short_stories_1997;longman_world_lit_2e_2009	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte;e013_oblass_040_julio_cortazar_the_night_face_up;longman2e_volc_290_julio_cortazar_axolotl	creator_exact_unmatched_source_item	existing_source_item_rescue_review	102.822	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0006	x051_selection_basis_0046	x050_cut_review_0046	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	2031	generic_title_unresolved_no_source_support	3	e013_fsg_20c_latin_american_poetry_2011;e013_oxford_latin_american_short_stories_1997;longman_world_lit_2e_2009	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte;e013_oblass_040_julio_cortazar_the_night_face_up;longman2e_volc_290_julio_cortazar_axolotl	creator_exact_unmatched_source_item	existing_source_item_rescue_review	102.797	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0007	x051_selection_basis_0047	x050_cut_review_0047	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	2052	generic_title_unresolved_no_source_support	3	e013_fsg_20c_latin_american_poetry_2011;e013_oxford_latin_american_short_stories_1997;longman_world_lit_2e_2009	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte;e013_oblass_040_julio_cortazar_the_night_face_up;longman2e_volc_290_julio_cortazar_axolotl	creator_exact_unmatched_source_item	existing_source_item_rescue_review	102.795	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0008	x051_selection_basis_0048	x050_cut_review_0048	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	2393	generic_title_unresolved_no_source_support	3	longman_world_lit_2e_2009	longman2e_volf_277_derek_walcott_a_far_cry_from_africa;longman2e_volf_278_derek_walcott_volcano;longman2e_volf_279_derek_walcott_the_fortunate_traveller	creator_exact_unmatched_source_item	existing_source_item_rescue_review	102.761	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0009	x051_selection_basis_0023	x050_cut_review_0023	work_candidate_bloom_leopardi_poems	Poems	Giacomo Leopardi	804	generic_title_unresolved_no_source_support	2	longman_world_lit_2e_2009	longman2e_vole_031_giacomo_leopardi_the_infinite;longman2e_vole_032_giacomo_leopardi_dialogue_between_nature_and_an_icelander	creator_exact_unmatched_source_item	existing_source_item_rescue_review	101.920	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0010	x051_selection_basis_0007	x050_cut_review_0007	work_candidate_bloom_darwish_selected_poems	Selected Poems	Mahmoud Darwish	1769	generic_title_unresolved_no_source_support	2	longman_world_lit_2e_2009	longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country;longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	creator_exact_unmatched_source_item	existing_source_item_rescue_review	101.823	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
