decision_id	triage_id	queue_id	diagnostic_id	subject	triage_class	review_decision	target_work_id	confidence	rationale	next_action
x030_decision_0001	x029_triage_0002	x028_red_0002	x028_source_cluster_invitation_to_voyage	Invitation to the Voyage	source_backed_omission_candidate	contained_in_current_collection	work_candidate_fleurs_du_mal	medium	Repeated anthology title is a Baudelaire poem/selection; route through Les Fleurs du mal rather than create a separate work by default.	record_selection_or_alias_relation_to_current_collection
x030_decision_0002	x029_triage_0003	x028_red_0003	x028_source_cluster_kubla_khan	Kubla Khan	possible_variant_alias_to_current_work	variant_alias_to_current_work	work_candidate_bloom_late_032_literature_bloom_democratic_age_reviewed_0482_christabel_kubla_khan_a_vision_in_a_dream_the_pa	medium	Same-creator current candidate already represents the Coleridge Kubla Khan selection cluster.	add_alias_or_match_review_decision
x030_decision_0003	x029_triage_0008	x028_red_0008	x028_source_cluster_song_of_lasting_regret	"""The Song of Lasting Regret"" | The Song of Lasting Regret"	subwork_or_selection_scope_review	variant_alias_to_current_work	work_candidate_eastasia_lit_song_everlasting_sorrow	medium	Song of Lasting Regret is a common translated title for Bai Juyi's Song of Everlasting Sorrow.	add_alias_or_match_review_decision
x030_decision_0004	x029_triage_0013	x028_red_0013	x028_source_cluster_agamemnon	Agamemnon | AGAMEMNON	source_backed_omission_candidate	contained_in_current_work	work_canon_oresteia	high	Agamemnon is a play within Aeschylus' Oresteia, which is already in the current path.	record_contained_work_scope_not_new_omission
x030_decision_0005	x029_triage_0035	x028_red_0035	x028_source_cluster_fuenteovejuna	Fuenteovejuna	source_backed_omission_candidate	orthographic_alias_to_current_work	work_candidate_bloom_fuente_ovejuna	high	Fuenteovejuna is an orthographic variant of the current-path Fuente Ovejuna row.	add_alias_or_match_review_decision
x030_decision_0006	x029_triage_0039	x028_red_0039	x028_source_cluster_holy_sonnets	Holy Sonnets | HOLY SONNETS	source_backed_omission_candidate	new_or_collection_candidate_review	""	medium	John Donne's Holy Sonnets may warrant collection-level candidate review; do not treat as an individual poem-only row.	review_collection_boundary_and_existing_donne_coverage
x030_decision_0007	x029_triage_0043	x028_red_0043	x028_source_cluster_ithaka	Ithaka	source_backed_omission_candidate	contained_in_current_collection	work_candidate_euro_under_lit_cavafy_poems	medium	Ithaka is a Cavafy poem; current path already includes Cavafy Collected Poems.	record_selection_or_alias_relation_to_current_collection
x030_decision_0008	x029_triage_0052	x028_red_0052	x028_source_cluster_o_captain_my_captain	O Captain! My Captain!	source_backed_omission_candidate	contained_in_current_collection	work_candidate_leaves_of_grass	medium	Whitman poem selection should route through the current Whitman poetry collection unless later review chooses individual-poem granularity.	record_selection_scope_not_new_work
x030_decision_0009	x029_triage_0053	x028_red_0053	x028_source_cluster_ode_on_grecian_urn	Ode on a Grecian Urn	source_backed_omission_candidate	contained_in_current_collection	work_candidate_bloom_keats_poems	medium	Keats ode selection should route through the current Keats selected-poems row.	record_selection_scope_not_new_work
x030_decision_0010	x029_triage_0054	x028_red_0054	x028_source_cluster_ode_to_nightingale	Ode to a Nightingale	source_backed_omission_candidate	contained_in_current_collection	work_candidate_bloom_keats_poems	medium	Keats ode selection should route through the current Keats selected-poems row.	record_selection_scope_not_new_work
x030_decision_0011	x029_triage_0055	x028_red_0055	x028_source_cluster_of_cannibals	Of Cannibals	source_backed_omission_candidate	contained_in_current_collection	work_candidate_essays_montaigne	high	Of Cannibals is an essay within Montaigne's Essays, which is already selected.	record_selection_scope_not_new_work
x030_decision_0012	x029_triage_0056	x028_red_0056	x028_source_cluster_of_power_of_imagination	Of the Power of the Imagination	source_backed_omission_candidate	contained_in_current_collection	work_candidate_essays_montaigne	high	Of the Power of the Imagination is an essay within Montaigne's Essays, which is already selected.	record_selection_scope_not_new_work
