applied_id	write_plan_id	evidence_id	work_id	source_id	source_item_id	evidence_action	source_item_action	evidence_type	evidence_strength	reviewer_status	next_action
x058_cut_evidence_apply_0001	x057_cut_evidence_write_0001	x057_ev_e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	work_candidate_latcarib_lit_drummond_poems	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0002	x057_cut_evidence_write_0002	x057_ev_e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	work_candidate_latcarib_lit_drummond_poems	e013_oxford_latin_american_poetry_2009	e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0003	x057_cut_evidence_write_0003	x057_ev_longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	work_candidate_latcarib_lit_drummond_poems	longman_world_lit_2e_2009	longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0004	x057_cut_evidence_write_0004	x057_ev_longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0005	x057_cut_evidence_write_0005	x057_ev_longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0006	x057_cut_evidence_write_0006	x057_ev_longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0007	x057_cut_evidence_write_0007	x057_ev_longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0008	x057_cut_evidence_write_0008	x057_ev_longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0009	x057_cut_evidence_write_0009	x057_ev_longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0010	x057_cut_evidence_write_0010	x057_ev_nawol5e_vola_143_catullus_poem	work_candidate_bloom_catullus_poems	norton_world_lit_5e_full_pre1650	nawol5e_vola_143_catullus_poem	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
