work_id	candidate_status	incumbent_path_id	incumbent_rank	canonical_title	sort_title	original_title	creator_display	date_label	sort_year	date_precision	macro_region	subregion	original_language	language_family	literary_tradition	period_bucket	form_bucket	unit_type	boundary_flags	included_as_literature	boundary_policy_id	boundary_note	selection_basis	edition_basis	completion_unit	source_status	review_status	confidence	provisional_until	notes
work_candidate_pyramid_texts	incumbent_current_path	candidate:pyramid_texts	1	Pyramid Texts	pyramid texts	""	Ancient Egyptian priestly and scribal tradition	Old Kingdom Egypt	-2400	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	funerary_text_corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_religion; current group=religion_scripture_theology
work_candidate_instructions_of_ptahhotep	incumbent_current_path	candidate:instructions_of_ptahhotep	2	The Instructions of Ptahhotep	instructions of ptahhotep	""	Ancient Egyptian wisdom tradition	c. 24th century BCE; later manuscript tradition	-2350	traditional_or_oral	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	wisdom_text	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_candidate_scale4_lit_enheduanna_hymns	incumbent_current_path	candidate:scale4_lit_enheduanna_hymns	3	Temple Hymns	temple hymns	""	Enheduanna tradition	23rd century BCE attribution	-2250	century	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	hymn_collection	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_me_lit_exaltation_inanna	incumbent_current_path	candidate:me_lit_exaltation_inanna	4	The Exaltation of Inanna	exaltation of inanna	""	Enheduanna tradition	23rd century BCE attribution; Old Babylonian manuscripts	-2250	century	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	hymnic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_canon_epic_of_gilgamesh	incumbent_current_path	canon:epic-of-gilgamesh	5	Epic of Gilgamesh	epic of gilgamesh	""	Mesopotamian scribal tradition	c. 2100-1200 BCE	-2100	range	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient-near-east; current group=literature
work_candidate_me_lit_lament_ur	incumbent_current_path	candidate:me_lit_lament_ur	6	Lament for Ur	lament for ur	""	Sumerian lamentation tradition	c. 2000 BCE	-2000	approximate_year	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	city_lament	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_coffin_texts	incumbent_current_path	candidate:coffin_texts	7	Coffin Texts	coffin texts	""	Ancient Egyptian funerary and scribal tradition	Middle Kingdom Egypt	-1900	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	funerary_text_corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_religion; current group=religion_scripture_theology
work_candidate_scale4_lit_shipwrecked_sailor	incumbent_current_path	candidate:scale4_lit_shipwrecked_sailor	8	The Shipwrecked Sailor	shipwrecked sailor	""	Ancient Egyptian literary tradition	Middle Kingdom	-1900	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	tale	""	""	""	""	""	""	Read the story, tale, story collection, or documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_candidate_mandatory_eloquent_peasant	incumbent_current_path	candidate:mandatory_eloquent_peasant	9	The Eloquent Peasant	eloquent peasant	""	Middle Egyptian literary tradition	c. 1900 BCE	-1900	approximate_year	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	tale	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_candidate_tale_of_sinuhe	incumbent_current_path	candidate:tale_of_sinuhe	10	The Tale of Sinuhe	tale of sinuhe	""	Middle Egyptian literary tradition	c. 20th-19th century BCE	-1850	century	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	prose_tale	""	""	""	""	""	""	Read the story, tale, story collection, or documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_candidate_atrahasis	incumbent_current_path	candidate:atrahasis	11	Atrahasis	atrahasis	""	Akkadian scribal tradition	c. 18th century BCE	-1750	century	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	mythic_epic	""	""	""	""	""	""	Read the epic, saga, myth cycle, or assigned oral-literary selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=mesopotamian_mythology; current group=mythology_folklore_oral_traditions
work_candidate_debate_between_man_and_soul	incumbent_current_path	candidate:debate_between_man_and_soul	12	The Debate Between a Man and His Soul	debate between man and his soul	""	Middle Egyptian literary tradition	c. 20th-18th century BCE	-1750	century	taxonomy_pending	""	""	""	taxonomy_pending	2500_1500_bce	taxonomy_pending	wisdom_dialogue	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_canon_rig_veda	incumbent_current_path	canon:rig-veda	13	Rig Veda	rig veda	""	Vedic tradition	c. 1500-1200 BCE	-1500	range	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	scripture	""	""	""	""	""	""	Read the scripture, sutra, gospel, hadith, or assigned sacred-literary selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sanskrit; current group=literature
work_candidate_enuma_elish	incumbent_current_path	candidate:enuma_elish	14	Enuma Elish	enuma elish	""	Babylonian scribal tradition	2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	work	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_near_eastern_literature; current group=literature
work_candidate_me_lit_adapa	incumbent_current_path	candidate:me_lit_adapa	15	Adapa Myth	adapa myth	""	Akkadian mythological-literary tradition	second-first millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	mythic_tale	""	""	""	""	""	""	Read the story, tale, story collection, or documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=akkadian_literature; current group=literature
work_candidate_anzu_myth	incumbent_current_path	candidate:anzu_myth	16	Anzu Myth	anzu myth	""	Akkadian scribal tradition	second-first millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	mythic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=mesopotamian_mythology; current group=mythology_folklore_oral_traditions
work_candidate_me_lit_enmerkar_aratta	incumbent_current_path	candidate:me_lit_enmerkar_aratta	17	Enmerkar and the Lord of Aratta	enmerkar and lord of aratta	""	Sumerian epic tradition	early 2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	epic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_me_lit_etana	incumbent_current_path	candidate:me_lit_etana	18	Etana Epic	etana epic	""	Akkadian epic tradition	second-first millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	epic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=akkadian_literature; current group=literature
work_candidate_me_lit_inanna_enki	incumbent_current_path	candidate:me_lit_inanna_enki	19	Inanna and Enki	inanna and enki	""	Sumerian mythological-literary tradition	early 2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	mythic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_me_lit_instructions_shuruppak	incumbent_current_path	candidate:me_lit_instructions_shuruppak	20	Instructions of Shuruppak	instructions of shuruppak	""	Sumerian wisdom-literary tradition	early 2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	wisdom_text	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_kumarbi_cycle	incumbent_current_path	candidate:kumarbi_cycle	21	Kumarbi Cycle	kumarbi cycle	""	Hurrian and Hittite mythological tradition	second millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	myth_cycle	""	""	""	""	""	""	Read the epic, saga, myth cycle, or assigned oral-literary selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hittite_and_anatolian_mythology; current group=mythology_folklore_oral_traditions
