sentinel_id	title	creator_hint	category	severity	present_in_current_path	present_as_candidate	matched_work_ids	source_item_count	evidence_count	source_ids	risk_level	diagnosis	next_action
sent_american_douglass_narrative	Narrative of the Life of Frederick Douglass, an American Slave	Frederick Douglass	african_american_slave_narrative	critical	true	true	work_candidate_bloom_reviewed_douglass_narrative	2	3	e012_loa_slave_narratives;library_of_america_catalog	ok	sentinel_present_in_current_path	no_action
sent_africa_achebe_things_fall_apart	Things Fall Apart	Chinua Achebe	african_novel	critical	true	true	work_canon_things_fall_apart	1	2	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_american_cooper_last_mohicans	The Last of the Mohicans	James Fenimore Cooper	american_early_national_fiction	high	true	true	work_candidate_mandatory_cooper_last_mohicans	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_american_irving_sketch_book	The Sketch Book of Geoffrey Crayon, Gent.	Washington Irving	american_early_national_prose	high	true	true	work_candidate_mandatory_irving_sketch_book	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_american_melville_moby_dick	Moby-Dick	Herman Melville	american_novel	critical	true	true	work_candidate_moby_dick	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_american_dickinson_poems	Complete Poems	Emily Dickinson	american_poetry	critical	true	true	work_candidate_bloom_dickinson_poems	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_american_whitman_leaves	Leaves of Grass	Walt Whitman	american_poetry	critical	true	true	work_candidate_leaves_of_grass	0	2	""	ok	sentinel_present_in_current_path	no_action
sent_american_hawthorne_scarlet_letter	The Scarlet Letter	Nathaniel Hawthorne	american_romance	critical	true	true	work_candidate_bloom_hawthorne_scarlet_letter	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_american_emerson_nature	Nature	Ralph Waldo Emerson	american_transcendentalism	high	true	true	work_candidate_wave001_emerson_nature_selected_essays	1	2	longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_american_fuller_woman	Woman in the Nineteenth Century	Margaret Fuller	american_transcendentalism_feminist_prose	high	true	true	work_candidate_wave001_fuller_woman_nineteenth_century	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_classical_euripides_medea	Medea	Euripides	ancient_greek_drama	critical	true	true	work_candidate_medea_euripides	2	3	e008_perseus_catalog_greek_latin_works;norton_world_lit_5e_full_pre1650	ok	sentinel_present_in_current_path	no_action
sent_classical_sophocles_oedipus	Oedipus Tyrannus	Sophocles	ancient_greek_drama	critical	true	true	work_canon_oedipus_tyrannus	2	3	e001_local_accepted_canon_records;e008_perseus_catalog_greek_latin_works	ok	sentinel_present_in_current_path	no_action
sent_classical_homer_iliad	Iliad	Homeric epic tradition	ancient_greek_epic	critical	true	true	work_canon_iliad	4	5	columbia_lithum_current_2026;e001_local_accepted_canon_records;e008_perseus_catalog_greek_latin_works;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_classical_homer_odyssey	Odyssey	Homeric epic tradition	ancient_greek_epic	critical	true	true	work_canon_odyssey	3	5	e001_local_accepted_canon_records;e008_perseus_catalog_greek_latin_works;princeton_humanities_sequences_2024	ok	sentinel_present_in_current_path	no_action
sent_arabic_quran	Qur'an	Islamic scripture	arabic_scripture_literature	critical	true	true	work_canon_quran	1	3	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_arabic_nights	One Thousand and One Nights	Arabic and transregional story-cycle tradition	arabic_story_cycle	critical	true	true	work_candidate_one_thousand_and_one_nights	2	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	ok	sentinel_present_in_current_path	no_action
sent_british_austen_pride	Pride and Prejudice	Jane Austen	british_novel	critical	true	true	work_candidate_pride_and_prejudice	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_british_shelley_frankenstein	Frankenstein	Mary Shelley	british_romantic_gothic	critical	true	true	work_candidate_frankenstein	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_british_wordsworth_lyrical_ballads	Lyrical Ballads	William Wordsworth and Samuel Taylor Coleridge	british_romantic_poetry	high	true	true	work_candidate_mandatory_wordsworth_coleridge_lyrical_ballads	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_china_dream_red_chamber	Dream of the Red Chamber	Cao Xueqin	chinese_novel	critical	true	true	work_canon_dream_of_the_red_chamber	1	4	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_china_shijing	Book of Songs / Shijing	Classical Chinese poetic tradition	classical_chinese_poetry	critical	true	true	work_candidate_book_of_songs	1	3	norton_world_lit_5e_full_pre1650	ok	sentinel_present_in_current_path	no_action
sent_china_zhuangzi	Zhuangzi	Zhuangzi	classical_chinese_prose	critical	true	true	work_canon_zhuangzi	1	6	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_china_analects	Analects	Confucius	classical_chinese_thought_literature	critical	true	true	work_canon_analects	2	7	e001_local_accepted_canon_records;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_british_milton_paradise_lost	Paradise Lost	John Milton	english_epic	critical	true	true	work_canon_paradise_lost	2	3	e001_local_accepted_canon_records;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_french_racine_phedre	Phedre	Jean Racine	french_drama	high	true	true	work_candidate_bloom_racine_phedre	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_french_moliere_tartuffe	Tartuffe	Moliere	french_drama	high	true	true	work_candidate_tartuffe	2	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	ok	sentinel_present_in_current_path	no_action
sent_french_flaubert_bovary	Madame Bovary	Gustave Flaubert	french_novel	critical	true	true	work_candidate_madame_bovary	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_french_baudelaire_flowers	Les Fleurs du mal	Charles Baudelaire	french_poetry	critical	true	true	work_candidate_fleurs_du_mal	2	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	ok	sentinel_present_in_current_path	no_action
sent_german_goethe_faust	Faust	Johann Wolfgang von Goethe	german_drama_poetry	critical	true	true	work_candidate_faust_goethe	3	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650;norton_world_lit_5e_full_pre1650	ok	sentinel_present_in_current_path	no_action
sent_italian_dante_comedy	Divine Comedy	Dante Alighieri	italian_medieval_poetry	critical	true	true	work_canon_divine_comedy	2	3	e001_local_accepted_canon_records;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_italian_boccaccio_decameron	The Decameron	Giovanni Boccaccio	italian_prose	critical	true	true	work_candidate_decameron	1	2	longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_japan_genji	The Tale of Genji	Murasaki Shikibu	japanese_court_fiction	critical	true	true	work_canon_tale_of_genji	2	4	e001_local_accepted_canon_records;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_japan_manyoshu	Man'yoshu	Classical Japanese poetic tradition	japanese_poetry	critical	true	true	work_candidate_manyoshu	0	1	""	ok	sentinel_present_in_current_path	no_action
sent_modern_borges_ficciones	Ficciones	Jorge Luis Borges	latin_american_modernism	critical	true	true	work_canon_ficciones	1	7	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_latin_america_garcia_marquez_solitude	One Hundred Years of Solitude	Gabriel Garcia Marquez	latin_american_novel	critical	true	true	work_canon_one_hundred_years_of_solitude	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_latin_america_popol_vuh	Popol Vuh	K'iche' Maya textual tradition	maya_literature	critical	true	true	work_canon_popol_vuh	1	3	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_british_chaucer_canterbury	The Canterbury Tales	Geoffrey Chaucer	middle_english_literature	critical	true	true	work_canon_canterbury_tales	2	3	e001_local_accepted_canon_records;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_modern_kafka_trial	The Trial	Franz Kafka	modernist_fiction	critical	true	true	work_canon_trial_kafka	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_british_beowulf	Beowulf	Old English poetic tradition	old_english_epic	critical	true	true	work_canon_beowulf	1	6	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_persian_shahnameh	Shahnameh	Ferdowsi	persian_epic	critical	true	true	work_candidate_shahnameh	1	1	norton_world_lit_5e_full_pre1650	ok	sentinel_present_in_current_path	no_action
sent_persian_rumi_masnavi	Masnavi	Jalal al-Din Rumi	persian_sufi_poetry	critical	true	true	work_candidate_masnavi_rumi	1	1	norton_world_lit_5e_full_pre1650	ok	sentinel_present_in_current_path	no_action
