write_plan_id	item_decision_id	target_action	proposed_evidence_id	existing_evidence_id	work_id	source_id	source_item_id	evidence_type	evidence_strength	reviewer_status	page_or_section	packet_id	write_gate	write_rationale	next_action
x057_cut_evidence_write_0001	x056_cut_item_decision_0010	create_new_evidence_after_review	x057_ev_e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	""	work_candidate_latcarib_lit_drummond_poems	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_025_carlos_drummond_de_andrade_os_ombros_suportam_o_mundo_your_shoulders_h	representative_selection	moderate	needs_manual_acceptance	source item: Os ombros suportam o mundo : your shoulders hold up the world ; O elefante : the elephant ; Desapareciemento de Luisa Porto : the disappearance of Luisa Porto ; Retrato de familia : family portrait ; Procura da poesia : looking for poetry	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0002	x056_cut_item_decision_0011	create_new_evidence_after_review	x057_ev_e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	""	work_candidate_latcarib_lit_drummond_poems	e013_oxford_latin_american_poetry_2009	e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	representative_selection	moderate	needs_manual_acceptance	source item: This is that ; A passion for measure ; In the middle of the way ; F	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0003	x056_cut_item_decision_0012	create_new_evidence_after_review	x057_ev_longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	""	work_candidate_latcarib_lit_drummond_poems	longman_world_lit_2e_2009	longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	representative_selection	moderate	needs_manual_acceptance	source item: In the Middle of the Road	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0004	x056_cut_item_decision_0013	create_new_evidence_after_review	x057_ev_longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids	""	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids	representative_selection	moderate	needs_manual_acceptance	"source item: 3 ""Cry out lamenting, Venuses and Cupids"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0005	x056_cut_item_decision_0014	create_new_evidence_after_review	x057_ev_longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving	""	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving	representative_selection	moderate	needs_manual_acceptance	"source item: 5 ""Lesbia, let us live only for loving"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0006	x056_cut_item_decision_0015	create_new_evidence_after_review	x057_ev_longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus	""	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus	representative_selection	moderate	needs_manual_acceptance	"source item: 13 ""You will dine well with me, my dear Fabullus"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0007	x056_cut_item_decision_0016	create_new_evidence_after_review	x057_ev_longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven	""	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven	representative_selection	moderate	needs_manual_acceptance	"source item: 51 ""To me that man seems like a god in heaven"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0008	x056_cut_item_decision_0017	create_new_evidence_after_review	x057_ev_longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling	""	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling	representative_selection	moderate	needs_manual_acceptance	"source item: 76 ""If any pleasure can come to a man through recalling"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0009	x056_cut_item_decision_0018	create_new_evidence_after_review	x057_ev_longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	""	work_candidate_bloom_catullus_poems	longman_world_lit_2e_2009	longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	representative_selection	moderate	needs_manual_acceptance	"source item: 107 ""If ever something which someone with no expectation"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0010	x056_cut_item_decision_0019	create_new_evidence_after_review	x057_ev_nawol5e_vola_143_catullus_poem	""	work_candidate_bloom_catullus_poems	norton_world_lit_5e_full_pre1650	nawol5e_vola_143_catullus_poem	representative_selection	moderate	needs_manual_acceptance	source item: POEM	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
