id	rank	phase	title	aliases	creators	date_label	sort_year	period_bucket	macro_region	form_bucket	section	group	topic	medium	unit_type	tier	pool	source	source_id	source_status	review_status	progress_status	lifetime_path	url	normalized_title	normalized_creators	boundary_flags	generic_title
candidate:scale_lit_archilochus_poems	48	1	Selected Poems	""	Archilochus	7th century BCE	-650	1000_500_bce	europe	poetry	textual_humanities	literature	greek_literature	text	lyric_poetry_selection	major	coverage	wave_024_literature_bloom_priority_completion	scale_lit_archilochus_poems	manual_only	needs_sources	planned	true		selected poems	archilochus	""	true
candidate:scale_lit_sappho_poems	51	1	Selected Poems	""	Sappho	late 7th-early 6th century BCE	-550	1000_500_bce	europe	poetry	textual_humanities	literature	greek_literature	text	lyric_poetry_selection	core	spine	wave_024_literature_bloom_priority_completion	scale_lit_sappho_poems	manual_only	needs_sources	planned	true		selected poems	sappho	""	true
candidate:bloom_gap_031_0015_poems	53	1	Poems	""	Alcman	6th-5th century BCE	-525	1000_500_bce	europe	poetry	textual_humanities	literature	greek_literature	text	poetry_selection	contextual	coverage	wave_031_literature_bloom_gap_classical_early_modern	bloom_gap_031_0015_poems	manual_only	needs_sources	planned	true		poems	alcman	""	true
candidate:bloom_pindar_odes	66	1	Odes	""	Pindar	5th century BCE	-450	500_300_bce	europe	poetry	textual_humanities	literature	greek_literature	text	lyric_poetry_collection	major	coverage	wave_019_bloom_western_literature_spine	bloom_pindar_odes	manual_only	needs_sources	planned	true		odes	pindar	""	true
candidate:bloom_reviewed_callimachus_hymns	115	1	Hymns and Epigrams	""	Callimachus	3rd century BCE	-250	300_1_bce	europe	poetry	textual_humanities	literature	greek_literature	text	poetry_collection	major	coverage	wave_030_literature_bloom_reviewed_priority	bloom_reviewed_callimachus_hymns	manual_only	needs_sources	planned	true		hymns and epigrams	callimachus	""	true
candidate:eastasia_lit_yuefu_songs	131	1	Selected Yuefu Songs	""	Han and post-Han poetic tradition	2nd century BCE-6th century CE	-150	300_1_bce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_yuefu_songs	manual_only	needs_sources	planned	true		selected yuefu songs	han and post han poetic tradition	""	true
candidate:wave001_cicero_selected_orations_letters	133	1	Selected Orations and Letters	Selected Speeches | Selected Letters | Pro Archia | Pro Caelio	Marcus Tullius Cicero	1st century BCE	-63	300_1_bce	europe	essays_memoir_testimony	textual_humanities	literature	roman_literature	text	oratory_and_letters_selection	major	coverage	wave_001_canon_audit_integration	wave001_cicero_selected_orations_letters	manual_only	needs_sources	planned	true		selected orations and letters	marcus tullius cicero	""	true
candidate:bloom_catullus_poems	139	1	Poems	""	Catullus	1st century BCE	-50	300_1_bce	europe	poetry	textual_humanities	literature	roman_literature	text	lyric_poetry_collection	major	coverage	wave_019_bloom_western_literature_spine	bloom_catullus_poems	manual_only	needs_sources	planned	true		poems	catullus	""	true
candidate:bloom_horace_odes	144	1	Odes	""	Horace	23-13 BCE	-23	300_1_bce	europe	poetry	textual_humanities	literature	roman_literature	text	lyric_poetry_collection	major	coverage	wave_019_bloom_western_literature_spine	bloom_horace_odes	manual_only	needs_sources	planned	true		odes	horace	""	true
candidate:bloom_martial_epigrams	152	1	Epigrams	""	Martial	late 1st century CE	50	1_300_ce	europe	fiction_narrative_prose	textual_humanities	literature	roman_literature	text	epigram_collection	major	coverage	wave_019_bloom_western_literature_spine	bloom_martial_epigrams	manual_only	needs_sources	planned	true		epigrams	martial	""	true
