creator_id	creator_display	normalized_name	name_variants	life_dates	culture_or_tradition	notes
creator_00001	Ancient Egyptian priestly and scribal tradition	ancient egyptian priestly and scribal tradition	""	""	""	Bootstrapped from incumbent path
creator_00002	Ancient Egyptian wisdom tradition	ancient egyptian wisdom tradition	""	""	""	Bootstrapped from incumbent path
creator_00003	Enheduanna tradition	enheduanna tradition	""	""	""	Bootstrapped from incumbent path
creator_00004	Mesopotamian scribal tradition	mesopotamian scribal tradition	""	""	""	Bootstrapped from incumbent path
creator_00005	Sumerian lamentation tradition	sumerian lamentation tradition	""	""	""	Bootstrapped from incumbent path
creator_00006	Ancient Egyptian funerary and scribal tradition	ancient egyptian funerary and scribal tradition	""	""	""	Bootstrapped from incumbent path
creator_00007	Ancient Egyptian literary tradition	ancient egyptian literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00008	Middle Egyptian literary tradition	middle egyptian literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00009	Akkadian scribal tradition	akkadian scribal tradition	""	""	""	Bootstrapped from incumbent path
creator_00010	Vedic tradition	vedic tradition	""	""	""	Bootstrapped from incumbent path
creator_00011	Babylonian scribal tradition	babylonian scribal tradition	""	""	""	Bootstrapped from incumbent path
creator_00012	Akkadian mythological-literary tradition	akkadian mythological literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00013	Sumerian epic tradition	sumerian epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00014	Akkadian epic tradition	akkadian epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00015	Sumerian mythological-literary tradition	sumerian mythological literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00016	Sumerian wisdom-literary tradition	sumerian wisdom literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00017	Hurrian and Hittite mythological tradition	hurrian and hittite mythological tradition	""	""	""	Bootstrapped from incumbent path
creator_00018	Sumerian literary tradition	sumerian literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00019	Sumerian scribal tradition	sumerian scribal tradition	""	""	""	Bootstrapped from incumbent path
creator_00020	Sumerian disputation tradition	sumerian disputation tradition	""	""	""	Bootstrapped from incumbent path
creator_00021	Ugaritic literary tradition	ugaritic literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00022	Zoroastrian priestly and liturgical tradition	zoroastrian priestly and liturgical tradition	""	""	""	Bootstrapped from incumbent path
creator_00023	Zarathustra; Zoroastrian liturgical tradition	zarathustra zoroastrian liturgical tradition	""	""	""	Bootstrapped from incumbent path
creator_00024	Vedic and early Hindu philosophical traditions	vedic and early hindu philosophical traditions	""	""	""	Bootstrapped from incumbent path
creator_00025	Homeric epic tradition	homeric epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00026	Hebrew Bible / Tanakh prophetic tradition	hebrew bible tanakh prophetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00027	Hebrew Bible / Tanakh wisdom-poetic tradition	hebrew bible tanakh wisdom poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00028	Hebrew Bible / Tanakh narrative tradition	hebrew bible tanakh narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00029	Hebrew Bible / Tanakh wisdom tradition	hebrew bible tanakh wisdom tradition	""	""	""	Bootstrapped from incumbent path
creator_00030	Hebrew Bible / Tanakh poetic tradition	hebrew bible tanakh poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00031	Hesiod	hesiod	""	""	""	Bootstrapped from incumbent path
creator_00032	Classical Chinese poetic tradition	classical chinese poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00033	Archilochus	archilochus	""	""	""	Bootstrapped from incumbent path
creator_00034	Archaic Greek hymn tradition	archaic greek hymn tradition	""	""	""	Bootstrapped from incumbent path
creator_00035	Aesopic beast-fable tradition	aesopic beast fable tradition	""	""	""	Bootstrapped from incumbent path
creator_00036	Sappho	sappho	""	""	""	Bootstrapped from incumbent path
