queue_id	diagnostic_id	audit_namespace	severity	priority_score	subject	rationale	next_action
x028_red_0001	x028_source_cluster_fireflies	C_source_cluster	high	111	Fireflies	Unmatched source-title cluster appears in 4 source(s) and 4 source item(s).	manual_match_or_create_candidate_review
x028_red_0002	x028_source_cluster_invitation_to_voyage	C_source_cluster	high	94	Invitation to the Voyage	Unmatched source-title cluster appears in 2 source(s) and 3 source item(s).	manual_match_or_create_candidate_review
x028_red_0003	x028_source_cluster_kubla_khan	C_source_cluster	high	94	Kubla Khan	Unmatched source-title cluster appears in 2 source(s) and 3 source item(s).	manual_match_or_create_candidate_review
x028_red_0004	x028_source_cluster_peacock_southeast_flew	C_source_cluster	high	93	"""A Peacock Southeast Flew"" | A Peacock Southeast Flew"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0005	x028_source_cluster_deer_enclosure	C_source_cluster	high	93	"""Deer Enclosure"" | Deer Enclosure"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0006	x028_source_cluster_midnight_songs	C_source_cluster	high	93	"""Midnight Songs"" | Midnight Songs"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0007	x028_source_cluster_ballad_of_mulan	C_source_cluster	high	93	"""The Ballad of Mulan"" | Ballad of Mulan"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0008	x028_source_cluster_song_of_lasting_regret	C_source_cluster	high	93	"""The Song of Lasting Regret"" | The Song of Lasting Regret"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0009	x028_source_cluster_5_lesbia_let_us_live_only_for_loving	C_source_cluster	high	93	"5 ""Lesbia, let us live only for loving"" | 5 [Lesbia, let us live only for loving]"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0010	x028_source_cluster_51_to_me_that_man_seems_like_god_in_heaven	C_source_cluster	high	93	"51 ""To me that man seems like a god in heaven"" | 51 [To me that man seems like a god in heaven]"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0011	x028_source_cluster_76_if_any_pleasure_can_come_to_man_through_recalling	C_source_cluster	high	93	"76 ""If any pleasure can come to a man through recalling"" | 76 [If any pleasure can come to a man through recalling]"	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0012	x028_source_cluster_martyr	C_source_cluster	high	93	A Martyr | The Martyr	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0013	x028_source_cluster_agamemnon	C_source_cluster	high	93	Agamemnon | AGAMEMNON	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0014	x028_source_cluster_akashi	C_source_cluster	high	93	Akashi	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0015	x028_source_cluster_autumn_excursion	C_source_cluster	high	93	An Autumn Excursion	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0016	x028_source_cluster_old_and_established_name	C_source_cluster	high	93	An Old and Established Name	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0017	x028_source_cluster_atsumori	C_source_cluster	high	93	Atsumori	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0018	x028_source_cluster_autumn_night	C_source_cluster	high	93	Autumn Night | The autumn night	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0019	x028_source_cluster_begging_for_food	C_source_cluster	high	93	Begging for Food	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0020	x028_source_cluster_bells_of_gion_monastery	C_source_cluster	high	93	Bells of Gion Monastery | The Bells of Gion Monastery	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0021	x028_source_cluster_bring_in_wine	C_source_cluster	high	93	Bring in the Wine	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0022	x028_source_cluster_byzantium	C_source_cluster	high	93	Byzantium	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0023	x028_source_cluster_central_park	C_source_cluster	high	93	Central Park	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0024	x028_source_cluster_correspondences	C_source_cluster	high	93	Correspondences	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0025	x028_source_cluster_delicious_poison	C_source_cluster	high	93	Delicious Poison	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0026	x028_source_cluster_elegy	C_source_cluster	high	93	Elegy	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0027	x028_source_cluster_emperor_jomei	C_source_cluster	high	93	Emperor Jomei	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0028	x028_source_cluster_escape	C_source_cluster	high	93	Escape	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0029	x028_source_cluster_evening	C_source_cluster	high	93	Evening	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0030	x028_source_cluster_exile	C_source_cluster	high	93	Exile	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0031	x028_source_cluster_farewell	C_source_cluster	high	93	Farewell	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0032	x028_source_cluster_finding_fault_with_my_sons	C_source_cluster	high	93	Finding Fault with My Sons	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0033	x028_source_cluster_fire	C_source_cluster	high	93	Fire	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0034	x028_source_cluster_from_on_reading_seas_and_mountains_classic	C_source_cluster	high	93	From On Reading the Seas and Mountains Classic	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0035	x028_source_cluster_fuenteovejuna	C_source_cluster	high	93	Fuenteovejuna	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0036	x028_source_cluster_gentle_now_doves	C_source_cluster	high	93	Gentle now, doves | [GENTLE NOW, DOVES]	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0037	x028_source_cluster_harvest	C_source_cluster	high	93	Harvest | The Harvest	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0038	x028_source_cluster_heartvine	C_source_cluster	high	93	Heartvine	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0039	x028_source_cluster_holy_sonnets	C_source_cluster	high	93	Holy Sonnets | HOLY SONNETS	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0040	x028_source_cluster_homecoming	C_source_cluster	high	93	Homecoming	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0041	x028_source_cluster_in_response_to_vice_magistrate_zhang	C_source_cluster	high	93	In Response to Vice-Magistrate Zhang | In Response to Vice- Magistrate Zhang	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0042	x028_source_cluster_in_quiet_night	C_source_cluster	high	93	In the Quiet Night	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0043	x028_source_cluster_ithaka	C_source_cluster	high	93	Ithaka	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0044	x028_source_cluster_kakinomoto_no_hitomaro	C_source_cluster	high	93	Kakinomoto no Hitomaro	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0045	x028_source_cluster_kinaxixi	C_source_cluster	high	93	Kinaxixi | Kinaxixi.	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0046	x028_source_cluster_lavender	C_source_cluster	high	93	Lavender	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0047	x028_source_cluster_lessons_for_women	C_source_cluster	high	93	Lessons for Women	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0048	x028_source_cluster_men_ask_way_to_cold_mountain	C_source_cluster	high	93	Men ask the way to Cold Mountain | [Men ask the way to Cold Mountain]	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0049	x028_source_cluster_moth	C_source_cluster	high	93	Moth	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0050	x028_source_cluster_my_innocent_uncle	C_source_cluster	high	93	My Innocent Uncle	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0051	x028_source_cluster_my_mind_is_like_autumn_moon	C_source_cluster	high	93	My mind is like the autumn moon | [My mind is like the autumn moon]	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
