rank	title	total_question_count	answerline_question_count	clue_mention_question_count	tier	bucket	creators	creator_source	creator_confidence	chronology_label	chronology_source	work_form	reading_unit	era	region_or_tradition	dominant_quizbowl_track	literature_track_count	non_literature_track_count	first_year	last_year	notes
2506	The Shepheardes Calendar	39	0	39	qb_contextual	needs_date_only	Edmund Spenser	quizbowl_author_answerline	medium	Unplaced	unknown	epic_or_romance	ancient_epic_scripture_myth	ancient_classical	roman_latin	literature	25	7	1992	2024	Creator is present, but no chronology metadata is available.
2525	Decalogue of the Artist	39	0	39	qb_contextual	needs_date_only	Gabriela Mistral	quizbowl_author_answerline	low	Unplaced	unknown	collection_or_cycle	collections_and_cycles	unknown_era	american	literature	31	13	2011	2025	Creator is present, but no chronology metadata is available.
2564	The Distance of the Moon	39	0	39	qb_contextual	needs_creator_and_date	""	unknown	unknown	Unplaced	unknown	short_fiction	short_fiction	unknown_era	latin_american	literature	27	26	2006	2025	No reliable creator or chronology metadata yet.
2613	Anis del Toro	39	0	39	qb_contextual	needs_creator_and_date	""	unknown	unknown	Unplaced	unknown	short_fiction	short_fiction	unknown_era	american	other_academic	7	19	2000	2023	No reliable creator or chronology metadata yet.
2683	Millennium Approaches	39	0	39	qb_contextual	needs_date_only	Tony Kushner	wikidata_metadata_overlay	medium	Unplaced	unknown	drama	drama	unknown_era	unknown_region	other_academic	4	21	1994	2025	Creator is present, but no chronology metadata is available.
2478	Gather Together in My Name	38	0	38	qb_contextual	needs_creator_and_date	""	unknown	unknown	Unplaced	unknown	long_fiction	postwar_literature	postwar_modern	american	literature	25	15	1990	2024	No reliable creator or chronology metadata yet.
2493	Lift Every Voice and Sing	38	0	38	qb_contextual	needs_date_only	James Weldon Johnson	quizbowl_author_answerline	low	Unplaced	unknown	essay_memoir_nonfiction	early_modern_world_literature	early_modern	american	literature	38	3	1993	2025	Creator is present, but no chronology metadata is available.
2535	Lancelot and Elaine	38	0	38	qb_contextual	needs_creator_and_date	""	unknown	unknown	Unplaced	unknown	long_fiction	fiction_and_narrative	unknown_era	unknown_region	other_academic	2	33	1993	2023	No reliable creator or chronology metadata yet.
2537	Hump the Hostess	38	0	38	qb_contextual	needs_creator_and_date	""	unknown	unknown	Unplaced	unknown	drama	modernism	modernist	english_british_irish	literature	29	13	1996	2023	No reliable creator or chronology metadata yet.
2587	The Death of Bessie Smith	38	0	38	qb_contextual	needs_date_only	Edward Franklin Albee III	quizbowl_author_answerline	medium	Unplaced	unknown	drama	modernism	modernist	english_british_irish	literature	28	11	1990	2024	Creator is present, but no chronology metadata is available.
