candidate_id	canonical_title	review_reason	base_review_reason	total_question_count	answerline_question_count	clue_mention_question_count	distinct_set_count	source_counts_json	form_counts_json	answerline_form_counts_json	track_counts_json	literary_signal_count	non_literary_signal_count	adjudication_decision	adjudication_reason	example_snippet
qb_lit_the_odyssey_d926ad80	The Odyssey	accepted_likely_work	accepted_likely_work	2248	47	2201	996	"{""author_verb_title"":28,""byline_title"":3,""quoted_lit_context"":11,""raw_answerline_seed_clue_mention"":2201,""raw_answerline_work_prompt"":53,""typed_title"":9}"	"{""answerline_seed"":2201,""book"":4,""collection"":1,""drama"":1,""epic"":45,""essay"":2,""novel"":2,""ode"":8,""play"":2,""poem"":16,""sonnet"":1,""story"":2,""unknown"":7,""work"":13}"	"{""book"":3,""epic"":38,""poem"":4,""work"":8}"	"{""fine_arts"":111,""geography"":27,""history"":6,""literature"":405,""mythology"":156,""other_academic"":938,""philosophy"":11,""pop_culture"":187,""religion"":1,""science"":5}"	1454	356	accept	accepted_after_sanity_audit	: [10] Identify this work that is divided into three parts: “The Telemachiad,” “The Odyssey,” and “The Nostos.”
qb_lit_paradise_lost_7bba6a5f	Paradise Lost	accepted_likely_work	accepted_likely_work	990	84	906	529	"{""author_verb_title"":79,""quoted_lit_context"":22,""raw_answerline_seed_clue_mention"":906,""raw_answerline_work_prompt"":84,""typed_title"":33}"	"{""answerline_seed"":906,""ballad"":2,""collection"":1,""elegy"":6,""epic"":93,""play"":3,""poem"":47,""sonnet"":6,""unknown"":35,""work"":25}"	"{""epic"":62,""poem"":11,""work"":11}"	"{""fine_arts"":12,""geography"":5,""literature"":374,""mythology"":4,""other_academic"":392,""pop_culture"":11,""religion"":41,""science"":3,""social_science"":1}"	1096	81	accept	accepted_after_sanity_audit	[10] This writer of Aeropagitica and Samson Agonistes also wrote Paradise Lost, as well as a sequel, Paradise Regained.
qb_lit_moby_dick_640c74a7	Moby Dick	accepted_likely_work	accepted_likely_work	911	76	835	553	"{""author_verb_title"":44,""quoted_lit_context"":14,""raw_answerline_seed_clue_mention"":835,""raw_answerline_work_prompt"":76,""title_context"":2,""typed_title"":42}"	"{""answerline_seed"":835,""book"":7,""collection"":3,""novel"":115,""story"":1,""tale"":4,""unknown"":38,""work"":10}"	"{""book"":4,""novel"":69,""work"":3}"	"{""fine_arts"":4,""geography"":7,""literature"":299,""other_academic"":415,""philosophy"":3,""pop_culture"":41,""religion"":6,""science"":1}"	908	57	accept	accepted_after_sanity_audit	2. One character in this work lives by the Ten Commandments plus two more, “Think not”, and “Sleep when you can” and is called a dog and a donkey after he tells a joke to his superior. Another character in this work, a n
qb_lit_don_quixote_0709fc89	Don Quixote	accepted_likely_work	accepted_likely_work	705	97	608	397	"{""author_verb_title"":64,""quoted_lit_context"":6,""raw_answerline_seed_clue_mention"":608,""raw_answerline_work_prompt"":99,""typed_title"":30}"	"{""answerline_seed"":608,""book"":9,""drama"":1,""epic"":2,""novel"":119,""ode"":2,""play"":5,""poem"":7,""story"":5,""tale"":1,""unknown"":24,""work"":24}"	"{""book"":4,""novel"":86,""tale"":1,""work"":8}"	"{""fine_arts"":49,""geography"":13,""history"":2,""literature"":266,""other_academic"":279,""philosophy"":2,""pop_culture"":4}"	927	93	accept	accepted_after_sanity_audit	6. In this work, the autobiography-writing Gines de Pasamonter is part of a group of galley slaves freed by the titular character. Previously, the titular character had taken a barber's basin which he believed to be the
qb_lit_jane_eyre_08573b93	Jane Eyre	accepted_likely_work	accepted_likely_work	589	115	474	362	"{""author_verb_title"":45,""byline_title"":2,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":474,""raw_answerline_work_prompt"":115,""typed_title"":16}"	"{""answerline_seed"":474,""book"":5,""novel"":128,""story"":2,""tale"":2,""unknown"":38,""work"":8}"	"{""book"":3,""novel"":105,""tale"":2,""work"":5}"	"{""literature"":164,""other_academic"":319,""pop_culture"":15}"	699	10	""	""	15. Mrs. Reed locks the titular character in a dark room for punishment. For 10 points each: [10] Name this novel depicting the eventual marriage of Edward Fairfax Rochester and the titular character.
qb_lit_anna_karenina_1e1d429c	Anna Karenina	accepted_likely_work	accepted_likely_work	580	113	467	349	"{""author_verb_title"":25,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":467,""raw_answerline_work_prompt"":117,""typed_title"":11}"	"{""answerline_seed"":467,""book"":1,""epic"":3,""novel"":118,""unknown"":15,""work"":18}"	"{""book"":1,""epic"":1,""novel"":100,""work"":15}"	"{""geography"":9,""literature"":223,""other_academic"":197,""pop_culture"":19}"	614	36	accept	accepted_after_sanity_audit	One character in this novel meets Varenka during her time at a spa in Germany. The failure of Sergei’s literary pursuits leads him to join the military at the end of this work. This work begins with the title character’s
qb_lit_madame_bovary_a9519374	Madame Bovary	accepted_likely_work	accepted_likely_work	552	113	439	329	"{""author_verb_title"":80,""quoted_lit_context"":4,""raw_answerline_seed_clue_mention"":439,""raw_answerline_work_prompt"":113,""title_context"":1,""typed_title"":13}"	"{""answerline_seed"":439,""book"":1,""memoir"":6,""novel"":126,""ode"":1,""story"":2,""unknown"":57,""work"":18}"	"{""novel"":103,""work"":10}"	"{""fine_arts"":4,""geography"":3,""literature"":346,""other_academic"":115,""pop_culture"":6,""science"":2}"	602	9	""	""	13) One character in this novel leaves an apology letter underneath a basket of apricots causing the titular character to fall ill upon discovering it. After a performance of the opera Lucie de Lammermoor, the title char
qb_lit_the_iliad_0c7bd588	The Iliad	accepted_likely_work	accepted_likely_work	1628	21	1608	724	"{""author_verb_title"":18,""quoted_lit_context"":3,""raw_answerline_seed_clue_mention"":1608,""raw_answerline_work_prompt"":21,""typed_title"":2}"	"{""answerline_seed"":1608,""epic"":22,""essay"":2,""play"":2,""poem"":3,""story"":2,""unknown"":9,""work"":4}"	"{""epic"":17,""play"":2,""poem"":2}"	"{""fine_arts"":3,""geography"":36,""history"":18,""literature"":206,""mythology"":292,""other_academic"":699,""philosophy"":13,""pop_culture"":16,""science"":3}"	928	58	accept	accepted_after_sanity_audit	shows an ancient philosopher looking over a statue depicting the author of the Iliad. In addition to Aristotle Contemplating a Bust of Homer and The Anatomy Lesson of Dr. Tulp, this artist is probably best remembered fo
qb_lit_les_miserables_57c60513	Les Miserables	accepted_likely_work	accepted_likely_work	655	65	590	423	"{""author_verb_title"":21,""byline_title"":1,""quoted_lit_context"":3,""raw_answerline_seed_clue_mention"":590,""raw_answerline_work_prompt"":65,""typed_title"":16}"	"{""answerline_seed"":590,""book"":5,""novel"":73,""ode"":1,""play"":2,""story"":5,""unknown"":14,""work"":6}"	"{""book"":5,""novel"":54,""story"":4,""work"":2}"	"{""fine_arts"":8,""geography"":12,""history"":1,""literature"":237,""other_academic"":229,""pop_culture"":45,""religion"":1,""science"":2}"	551	79	accept	accepted_after_sanity_audit	painting was inspired by the character Gavroche in Victor Hugo’s novel entitled Les Miserables. For 10 points each: [10] Name this 1830 painting depicting a woman with her breasts exposed holding up the flag of France.
qb_lit_native_son_1cc2b31f	Native Son	accepted_likely_work	accepted_likely_work	631	67	564	379	"{""author_verb_title"":26,""byline_title"":2,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":564,""raw_answerline_work_prompt"":67,""typed_title"":36}"	"{""answerline_seed"":564,""book"":8,""collection"":6,""novel"":99,""story"":2,""unknown"":15,""work"":3}"	"{""book"":2,""novel"":61,""story"":2,""work"":2}"	"{""fine_arts"":8,""geography"":78,""history"":7,""literature"":239,""other_academic"":172,""pop_culture"":15}"	676	29	accept	accepted_after_sanity_audit	8. In this novel, Mr. Blum owns a delicatessen which Gus, Jack, and G.H. plan to rob. The state attorney Buckley and private investigator Britten fear the influence of communism after the protagonist of this work signs a
