work_id	candidate_status	canonical_title	source_debt_status	evidence_count	accepted_independent_support_families	provisional_independent_support_families	omission_readiness	relation_scope_blocker_count	date_uncertainty_flag	boundary_scope_flag	source_debt_penalty_input	relation_scope_penalty_input	date_uncertainty_penalty_input	boundary_scope_penalty_input	scoring_readiness	blocking_reasons	next_action
work_candidate_pyramid_texts	incumbent_current_path	Pyramid Texts	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_instructions_of_ptahhotep	incumbent_current_path	The Instructions of Ptahhotep	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_scale4_lit_enheduanna_hymns	incumbent_current_path	Temple Hymns	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_exaltation_inanna	incumbent_current_path	The Exaltation of Inanna	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_canon_epic_of_gilgamesh	incumbent_current_path	Epic of Gilgamesh	open_provisional_external_support	3	0	1	not_omission_candidate	1	0	0	1	1	0	0	blocked_from_score_computation	source_debt_open;relation_scope_blockers	review_evidence_scope_and_accept_or_reject
work_candidate_me_lit_lament_ur	incumbent_current_path	Lament for Ur	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_coffin_texts	incumbent_current_path	Coffin Texts	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_scale4_lit_shipwrecked_sailor	incumbent_current_path	The Shipwrecked Sailor	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_mandatory_eloquent_peasant	incumbent_current_path	The Eloquent Peasant	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_tale_of_sinuhe	incumbent_current_path	The Tale of Sinuhe	open_provisional_external_support	1	0	1	not_omission_candidate	1	0	0	1	1	0	0	blocked_from_score_computation	source_debt_open;relation_scope_blockers	review_evidence_scope_and_accept_or_reject
work_candidate_atrahasis	incumbent_current_path	Atrahasis	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_debate_between_man_and_soul	incumbent_current_path	The Debate Between a Man and His Soul	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_canon_rig_veda	incumbent_current_path	Rig Veda	open_internal_only	1	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	add_external_source_support
work_candidate_enuma_elish	incumbent_current_path	Enuma Elish	open_provisional_external_support	1	0	1	not_omission_candidate	1	0	0	1	1	0	0	blocked_from_score_computation	source_debt_open;relation_scope_blockers	review_evidence_scope_and_accept_or_reject
work_candidate_me_lit_adapa	incumbent_current_path	Adapa Myth	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_anzu_myth	incumbent_current_path	Anzu Myth	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_enmerkar_aratta	incumbent_current_path	Enmerkar and the Lord of Aratta	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_etana	incumbent_current_path	Etana Epic	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_inanna_enki	incumbent_current_path	Inanna and Enki	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_instructions_shuruppak	incumbent_current_path	Instructions of Shuruppak	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_kumarbi_cycle	incumbent_current_path	Kumarbi Cycle	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_lugalbanda_mountain_cave	incumbent_current_path	Lugalbanda in the Mountain Cave	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_curse_agade	incumbent_current_path	The Curse of Agade	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_descent_of_inanna	incumbent_current_path	The Descent of Inanna	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_sheep_grain	incumbent_current_path	Debate Between Sheep and Grain	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_egyptian_book_of_the_dead	incumbent_current_path	Egyptian Book of the Dead	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_scale4_lit_baal_cycle	incumbent_current_path	Baal Cycle	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_me_lit_kirta	incumbent_current_path	Kirta Epic	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_aqhat_epic	incumbent_current_path	The Epic of Aqhat	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_scale4_lit_amenemope	incumbent_current_path	Instruction of Amenemope	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_scale4_lit_wenamun	incumbent_current_path	The Report of Wenamun	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_avesta	incumbent_current_path	Avesta	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_candidate_gathas_zarathustra	incumbent_current_path	Gathas	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
work_canon_upanishads	incumbent_current_path	Upanishads	open_internal_only	1	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	add_external_source_support
work_canon_iliad	incumbent_current_path	Iliad	open_provisional_external_support	5	0	1	not_omission_candidate	4	0	0	1	1	0	0	blocked_from_score_computation	source_debt_open;relation_scope_blockers	review_evidence_scope_and_accept_or_reject
work_canon_odyssey	incumbent_current_path	Odyssey	open_provisional_external_support	5	0	3	not_omission_candidate	2	0	0	1	1	0	0	blocked_from_score_computation	source_debt_open;relation_scope_blockers	review_evidence_scope_and_accept_or_reject
work_candidate_book_of_isaiah	incumbent_current_path	Book of Isaiah	open_no_evidence	0	0	0	not_omission_candidate	0	0	0	1	0	0	0	blocked_from_score_computation	source_debt_open	extract_or_match_source_items
