id	rank	phase	title	aliases	creators	date_label	sort_year	period_bucket	macro_region	form_bucket	section	group	topic	medium	unit_type	tier	pool	source	source_id	source_status	review_status	progress_status	lifetime_path	url	normalized_title	normalized_creators	boundary_flags	generic_title
candidate:pyramid_texts	1	1	Pyramid Texts	""	Ancient Egyptian priestly and scribal tradition	Old Kingdom Egypt	-2400	2500_1500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	ancient_egyptian_religion	text	funerary_text_corpus	core	spine	wave_011_mythology_religion_oral_traditions	pyramid_texts	manual_only	needs_sources	planned	true		pyramid texts	ancient egyptian priestly and scribal tradition	sacred_religious|myth_ritual	false
candidate:instructions_of_ptahhotep	2	1	The Instructions of Ptahhotep	""	Ancient Egyptian wisdom tradition	c. 24th century BCE; later manuscript tradition	-2350	2500_1500_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	ancient_egyptian_literature	text	wisdom_text	major	coverage	wave_006_textual_humanities_literature_philosophy	instructions_of_ptahhotep	manual_only	needs_sources	planned	true		instructions of ptahhotep	ancient egyptian wisdom tradition	philosophy_adjacent	false
candidate:scale4_lit_enheduanna_hymns	3	1	Temple Hymns	""	Enheduanna tradition	23rd century BCE attribution	-2250	2500_1500_bce	middle_east_central_asia	poetry	textual_humanities	literature	sumerian_literature	text	hymn_collection	major	coverage	wave_028_literature_undercovered_language_traditions	scale4_lit_enheduanna_hymns	manual_only	needs_sources	planned	true		temple hymns	enheduanna tradition	""	false
candidate:me_lit_exaltation_inanna	4	1	The Exaltation of Inanna	""	Enheduanna tradition	23rd century BCE attribution; Old Babylonian manuscripts	-2250	2500_1500_bce	middle_east_central_asia	poetry	textual_humanities	literature	sumerian_literature	text	hymnic_poem	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_exaltation_inanna	manual_only	needs_sources	planned	true		exaltation of inanna	enheduanna tradition	""	false
candidate:me_lit_lament_ur	6	1	Lament for Ur	""	Sumerian lamentation tradition	c. 2000 BCE	-2000	2500_1500_bce	middle_east_central_asia	fiction_narrative_prose	textual_humanities	literature	sumerian_literature	text	city_lament	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_lament_ur	manual_only	needs_sources	planned	true		lament for ur	sumerian lamentation tradition	""	false
candidate:coffin_texts	7	1	Coffin Texts	""	Ancient Egyptian funerary and scribal tradition	Middle Kingdom Egypt	-1900	2500_1500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	religion_scripture_theology	ancient_egyptian_religion	text	funerary_text_corpus	major	coverage	wave_011_mythology_religion_oral_traditions	coffin_texts	manual_only	needs_sources	planned	true		coffin texts	ancient egyptian funerary and scribal tradition	sacred_religious|myth_ritual	false
candidate:scale4_lit_shipwrecked_sailor	8	1	The Shipwrecked Sailor	""	Ancient Egyptian literary tradition	Middle Kingdom	-1900	2500_1500_bce	middle_east_central_asia	fiction_narrative_prose	textual_humanities	literature	ancient_egyptian_literature	text	tale	major	coverage	wave_028_literature_undercovered_language_traditions	scale4_lit_shipwrecked_sailor	manual_only	needs_sources	planned	true		shipwrecked sailor	ancient egyptian literary tradition	""	false
candidate:mandatory_eloquent_peasant	9	1	The Eloquent Peasant	""	Middle Egyptian literary tradition	c. 1900 BCE	-1900	2500_1500_bce	middle_east_central_asia	fiction_narrative_prose	textual_humanities	literature	ancient_egyptian_literature	text	tale	major	coverage	wave_050_literature_mandatory_omissions_premodern_19c	mandatory_eloquent_peasant	manual_only	needs_sources	planned	true		eloquent peasant	middle egyptian literary tradition	""	false
candidate:tale_of_sinuhe	10	1	The Tale of Sinuhe	""	Middle Egyptian literary tradition	c. 20th-19th century BCE	-1850	2500_1500_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	ancient_egyptian_literature	text	prose_tale	major	coverage	wave_006_textual_humanities_literature_philosophy	tale_of_sinuhe	manual_only	needs_sources	planned	true		tale of sinuhe	middle egyptian literary tradition	""	false
candidate:atrahasis	11	1	Atrahasis	""	Akkadian scribal tradition	c. 18th century BCE	-1750	2500_1500_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	mythology_folklore_oral_traditions	mesopotamian_mythology	text	mythic_epic	major	coverage	wave_004_core_expansion	atrahasis	manual_only	needs_sources	planned	true		atrahasis	akkadian scribal tradition	oral_tradition|myth_ritual	false
candidate:debate_between_man_and_soul	12	1	The Debate Between a Man and His Soul	""	Middle Egyptian literary tradition	c. 20th-18th century BCE	-1750	2500_1500_bce	middle_east_central_asia	essays_memoir_testimony	textual_humanities	literature	ancient_egyptian_literature	text	wisdom_dialogue	major	coverage	wave_006_textual_humanities_literature_philosophy	debate_between_man_and_soul	manual_only	needs_sources	planned	true		debate between man and his soul	middle egyptian literary tradition	philosophy_adjacent	false
candidate:enuma_elish	14	1	Enuma Elish	""	Babylonian scribal tradition	2nd millennium BCE	-1500	1500_1000_bce	cross_regional_or_unknown	fiction_narrative_prose	textual_humanities	literature	ancient_near_eastern_literature	text	work	major	spine	base_candidates	enuma_elish	manual_only	needs_sources	planned	true		enuma elish	babylonian scribal tradition	""	false
candidate:me_lit_adapa	15	1	Adapa Myth	""	Akkadian mythological-literary tradition	second-first millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	fiction_narrative_prose	textual_humanities	literature	akkadian_literature	text	mythic_tale	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_adapa	manual_only	needs_sources	planned	true		adapa myth	akkadian mythological literary tradition	myth_ritual	false
candidate:anzu_myth	16	1	Anzu Myth	""	Akkadian scribal tradition	second-first millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	sacred_myth_ritual	textual_humanities	mythology_folklore_oral_traditions	mesopotamian_mythology	text	mythic_poem	major	coverage	wave_011_mythology_religion_oral_traditions	anzu_myth	manual_only	needs_sources	planned	true		anzu myth	akkadian scribal tradition	oral_tradition|myth_ritual	false
candidate:me_lit_enmerkar_aratta	17	1	Enmerkar and the Lord of Aratta	""	Sumerian epic tradition	early 2nd millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	epic_oral_folk	textual_humanities	literature	sumerian_literature	text	epic_poem	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_enmerkar_aratta	manual_only	needs_sources	planned	true		enmerkar and lord of aratta	sumerian epic tradition	""	false
candidate:me_lit_etana	18	1	Etana Epic	""	Akkadian epic tradition	second-first millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	epic_oral_folk	textual_humanities	literature	akkadian_literature	text	epic_poem	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_etana	manual_only	needs_sources	planned	true		etana epic	akkadian epic tradition	""	false
candidate:me_lit_inanna_enki	19	1	Inanna and Enki	""	Sumerian mythological-literary tradition	early 2nd millennium BCE	-1500	1500_1000_bce	middle_east_central_asia	poetry	textual_humanities	literature	sumerian_literature	text	mythic_poem	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_inanna_enki	manual_only	needs_sources	planned	true		inanna and enki	sumerian mythological literary tradition	""	false
