transaction_id	add_work_id	add_title	add_creator	cut_work_id	cut_title	cut_creator	packet_ids	evidence_refs	score_delta	coverage_effect	source_status_effect	duplicate_check	chronology_check	boundary_check	gate_status	rationale	notes
x047_pair_000001	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_wave002_longfellow_selected_poems	Selected Poems	Henry Wadsworth Longfellow	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=7.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	cut_chronology_issue_review_required;add_year=1847;cut_year=1855	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=2. No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000002	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_global_lit_abu_nuwas_poems	Selected Poems	Abu Nuwas	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.50	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	cut_chronology_issue_review_required;add_year=1847;cut_year=850	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=1. No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000003	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_me_lit_abu_tammam_poems	Selected Poems	Abu Tammam	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.50	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	cut_chronology_issue_review_required;add_year=1847;cut_year=850	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=1. No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000004	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_bloom_reviewed_villon_poems	Selected Poems	Francois Villon	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.50	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	cut_chronology_issue_review_required;add_year=1847;cut_year=1450	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106);chronology_issues=1. No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000005	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_scale_lit_archilochus_poems	Selected Poems	Archilochus	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	pending_path_position_chronology_validation;add_year=1847;cut_year=-650	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106). No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000006	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_eastasia_lit_cao_cao_poems	Selected Poems	Cao Cao	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	pending_path_position_chronology_validation;add_year=1847;cut_year=250	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106). No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000007	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_eastasia_lit_cao_zhi_poems	Selected Poems	Cao Zhi	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	pending_path_position_chronology_validation;add_year=1847;cut_year=250	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106). No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000008	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_eastasia_lit_ruan_ji_poems	Selected Poems	Ruan Ji	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	pending_path_position_chronology_validation;add_year=1847;cut_year=250	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106). No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000009	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_eastasia_lit_bao_zhao_poems	Selected Poems	Bao Zhao	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	pending_path_position_chronology_validation;add_year=1847;cut_year=450	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106). No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
x047_pair_000010	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	William Wells Brown	work_candidate_global_lit_tao_yuanming_poems	Selected Poems	Tao Yuanming	X045;X046;X047	x017_ev_e012_loa_sn_brown_narrative;x017_ev_e012_naal4_v1_brown_narrative_william_w_brown;x017_ev_x043_britannica_brown_narrative	+4.350 minus_cut_score_uncomputed cut_risk=6.00	add_candidate_has_capped_coverage_bonus_cut_effect_uncomputed	add_source_debt_closed_cut_source_debt=open_no_evidence	cut_generic_duplicate_cluster_review_required	pending_path_position_chronology_validation;add_year=1847;cut_year=450	add_boundary_clear_cut_not_flagged	blocked	Blocked add/cut pair generated for review. Cut risk: open_no_evidence;generic_title;duplicate_cluster=selected poems(106). No cut is approved and no transaction is ready.	Generated by X047 from score-ready add prefilter rows and high-priority X046 cut-risk rows.
