candidate_id	canonical_title	normalized_title	form_hint	candidate_source	disambiguation_status	distinct_question_count	distinct_set_count	distinct_year_count	notes
qb_lit_things_fall_apart_75cb4f47	Things Fall Apart	things fall apart	seeded_literary_work	seed_exact_title_clue_hit:467	accepted_likely_work	467	377	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_hamlet_060775a0	Hamlet	hamlet	seeded_literary_work	seed_exact_title_clue_hit:300	accepted_likely_work	300	244	37	Generated from quizbowl clue_text only; threshold=4.
qb_lit_don_quixote_0709fc89	Don Quixote	don quixote	seeded_literary_work	seed_exact_title_clue_hit:256;seed_alias_clue_hit:10	accepted_likely_work	266	229	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_paradise_lost_7bba6a5f	Paradise Lost	paradise lost	seeded_literary_work	seed_exact_title_clue_hit:244	accepted_likely_work	244	211	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_metamorphosis_a1b31f17	The Metamorphosis	the metamorphosis	seeded_literary_work	seed_exact_title_clue_hit:245	accepted_likely_work	245	227	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_pygmalion_c54f9baf	Pygmalion	pygmalion	seeded_literary_work	seed_exact_title_clue_hit:185;seed_alias_clue_hit:51	accepted_likely_work	236	222	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_catcher_in_the_rye_d96c6153	The Catcher in the Rye	the catcher in the rye	seeded_literary_work	seed_exact_title_clue_hit:196;seed_alias_clue_hit:38	accepted_likely_work	234	204	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_ulysses_e9c0459c	Ulysses	ulysses	seeded_literary_work	seed_exact_title_clue_hit:247;quoted_lit_context:1	accepted_likely_work	248	209	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_canterbury_tales_2706437f	The Canterbury Tales	the canterbury tales	seeded_literary_work	seed_exact_title_clue_hit:196;seed_alias_clue_hit:47	accepted_likely_work	243	211	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_twenty_love_poems_and_a_song_of_despair_4d71ea84	Twenty Love Poems and a Song of Despair	twenty love poems and a song of despair	seeded_literary_work	seed_exact_title_clue_hit:233	accepted_likely_work	233	219	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_second_coming_cecb0b60	The Second Coming	the second coming	seeded_literary_work	seed_exact_title_clue_hit:237	accepted_likely_work	237	205	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_sorrows_of_young_werther_a9d62640	The Sorrows of Young Werther	the sorrows of young werther	seeded_literary_work	seed_exact_title_clue_hit:242	accepted_likely_work	242	209	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_a_dolls_house_86717dfe	A Doll’s House	a dolls house	seeded_literary_work	seed_exact_title_clue_hit:214;seed_alias_clue_hit:20	accepted_likely_work	234	214	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_odyssey_d926ad80	The Odyssey	the odyssey	seeded_literary_work	seed_exact_title_clue_hit:238	accepted_likely_work	238	199	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_gitanjali_faccf2c9	Gitanjali	gitanjali	seeded_literary_work	seed_exact_title_clue_hit:230;seed_alias_clue_hit:6	accepted_likely_work	236	208	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_heart_of_darkness_dd9d5e4b	Heart of Darkness	heart of darkness	seeded_literary_work	seed_exact_title_clue_hit:214	accepted_likely_work	214	195	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_six_characters_in_search_of_an_author_20d2a5d6	Six Characters in Search of an Author	six characters in search of an author	seeded_literary_work	seed_exact_title_clue_hit:220;seed_alias_clue_hit:2	accepted_likely_work	222	201	37	Generated from quizbowl clue_text only; threshold=4.
qb_lit_moby_dick_640c74a7	Moby-Dick	moby dick	seeded_literary_work	seed_exact_title_clue_hit:204;seed_alias_clue_hit:6	accepted_likely_work	210	188	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_beloved_c2945cad	Beloved	beloved	seeded_literary_work	seed_exact_title_clue_hit:210	accepted_likely_work	210	186	35	Generated from quizbowl clue_text only; threshold=4.
