work_order_id	cut_work_id	cut_title	cut_creator	cut_rank	cut_risk_score	cut_source_debt_status	cut_evidence_count	cut_generic_title_flag	cut_duplicate_cluster_key	cut_duplicate_cluster_size	cut_chronology_issue_count	cut_boundary_flag	paired_add_work_ids	paired_add_titles	pair_queue_ids	review_priority	review_focus	next_action
x050_cut_review_0001	work_candidate_wave002_longfellow_selected_poems	Selected Poems	Henry Wadsworth Longfellow	889	7.00	open_no_evidence	0	true	selected poems	106	2	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0003	7.350	generic_title_selection_basis;duplicate_cluster;chronology;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0002	work_candidate_scale_lit_archilochus_poems	Selected Poems	Archilochus	48	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0006	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0003	work_candidate_eastasia_lit_cao_cao_poems	Selected Poems	Cao Cao	180	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0005	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0004	work_candidate_eastasia_lit_cao_zhi_poems	Selected Poems	Cao Zhi	181	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0004	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0005	work_candidate_eastasia_lit_ruan_ji_poems	Selected Poems	Ruan Ji	182	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0002	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0006	work_candidate_eastasia_lit_bao_zhao_poems	Selected Poems	Bao Zhao	200	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0010	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0007	work_candidate_indig_lit_ariruma_kowii_poems	Selected Poems	Ariruma Kowii	2684	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0007	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0008	work_candidate_indig_lit_briceida_poems	Selected Poems	Briceida Cuevas Cob	2685	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0008	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0009	work_candidate_indig_lit_akabal_poems	Selected Poems	Humberto Ak'abal	2686	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0009	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
x050_cut_review_0010	work_candidate_indig_lit_hubert_matiuwaa_poems	Selected Poems	Hubert Matiuwaa	2696	6.00	open_no_evidence	0	true	selected poems	106	0	false	work_candidate_source_loa_brown_narrative	Narrative of William W. Brown, A Fugitive Slave. Written by Himself	x049_pair_review_0001	7.350	generic_title_selection_basis;duplicate_cluster;source_debt	review_cut_identity_source_support_selection_basis_before_pair_promotion
